X;Y
0;[-0.  0.]
1;[ 1.31664705e-10 -2.83328196e-11]
2;[ 2.09065083e-09 -4.55267730e-10]
3;[ 1.04977271e-08 -2.31293845e-09]
4;[ 3.29035670e-08 -7.33356299e-09]
5;[ 7.96630883e-08 -1.79578164e-08]
6;[ 1.63813584e-07 -3.73416048e-08]
7;[ 3.00956505e-07 -6.93612677e-08]
8;[ 5.09142773e-07 -1.18617236e-07]
9;[ 8.08761482e-07 -1.90436174e-07]
10;[ 1.22243189e-06 -2.90871639e-07]
11;[ 1.77489856e-06 -4.26703276e-07]
12;[ 2.49292956e-06 -6.05434599e-07]
13;[ 3.40521763e-06 -8.35289365e-07]
14;[ 4.54228414e-06 -1.12520659e-06]
15;[ 5.93638585e-06 -1.48483425e-06]
16;[ 7.62142432e-06 -1.92452164e-06]
17;[ 9.63285783e-06 -2.45531051e-06]
18;[ 1.20076159e-05 -3.08892498e-06]
19;[ 1.47840159e-05 -3.83776015e-06]
20;[ 1.80016827e-05 -4.71486973e-06]
21;[ 2.17014695e-05 -5.73395232e-06]
22;[ 2.59253818e-05 -6.90933680e-06]
23;[ 3.07165030e-05 -8.25596647e-06]
24;[ 3.61189218e-05 -9.78938230e-06]
25;[ 4.21776627e-05 -1.15257051e-05]
26;[ 4.89386166e-05 -1.34816169e-05]
27;[ 5.64484753e-05 -1.56743410e-05]
28;[ 6.47546659e-05 -1.81216215e-05]
29;[ 7.39052883e-05 -2.08417020e-05]
30;[ 8.39490542e-05 -2.38533033e-05]
31;[ 9.49352268e-05 -2.71756002e-05]
32;[ 1.06913563e-04 -3.08281978e-05]
33;[ 1.19934259e-04 -3.48311069e-05]
34;[ 1.34047890e-04 -3.92047191e-05]
35;[ 1.49305364e-04 -4.39697805e-05]
36;[ 1.65757864e-04 -4.91473657e-05]
37;[ 1.83456800e-04 -5.47588502e-05]
38;[ 2.02453760e-04 -6.08258833e-05]
39;[ 2.22800462e-04 -6.73703599e-05]
40;[ 2.44548704e-04 -7.44143917e-05]
41;[ 2.67750326e-04 -8.19802782e-05]
42;[ 2.92457160e-04 -9.00904775e-05]
43;[ 3.18720987e-04 -9.87675764e-05]
44;[ 0.00034659 -0.00010803]
45;[ 0.00037613 -0.00011791]
46;[ 0.00040737 -0.00012843]
47;[ 0.00044038 -0.0001396 ]
48;[ 0.0004752  -0.00015145]
49;[ 0.00051188 -0.00016401]
50;[ 0.00055048 -0.00017729]
51;[ 0.00059105 -0.00019132]
52;[ 0.00063363 -0.00020612]
53;[ 0.00067827 -0.00022172]
54;[ 0.00072503 -0.00023813]
55;[ 0.00077394 -0.00025537]
56;[ 0.00082507 -0.00027348]
57;[ 0.00087844 -0.00029246]
58;[ 0.00093413 -0.00031235]
59;[ 0.00099216 -0.00033315]
60;[ 0.00105258 -0.0003549 ]
61;[ 0.00111544 -0.0003776 ]
62;[ 0.00118079 -0.00040129]
63;[ 0.00124866 -0.00042597]
64;[ 0.0013191  -0.00045167]
65;[ 0.00139215 -0.0004784 ]
66;[ 0.00146785 -0.00050618]
67;[ 0.00154625 -0.00053503]
68;[ 0.00162737 -0.00056496]
