X;Y
0;[4.05309115 1.62123646]
1;[4.05292366 1.62113378]
2;[4.05242106 1.62082606]
3;[4.05158309 1.62031389]
4;[4.05040953 1.6195979 ]
5;[4.04890019 1.61867869]
6;[4.0470549  1.61755687]
7;[4.04487354 1.61623307]
8;[4.04235601 1.61470789]
9;[4.03950225 1.61298196]
10;[4.03631222 1.6110559 ]
11;[4.03278593 1.60893031]
12;[4.02892341 1.60660584]
13;[4.02472471 1.6040831 ]
14;[4.02018993 1.60136272]
15;[4.01531921 1.59844534]
16;[4.01011268 1.59533158]
17;[4.00457055 1.59202208]
18;[3.99869303 1.58851749]
19;[3.99248037 1.58481845]
20;[3.98593286 1.5809256 ]
21;[3.9790508  1.57683959]
22;[3.97183455 1.57256109]
23;[3.96428447 1.56809075]
24;[3.95640098 1.56342922]
25;[3.94818452 1.55857719]
26;[3.93963554 1.55353532]
27;[3.93075455 1.54830428]
28;[3.92154209 1.54288477]
29;[3.91199871 1.53727746]
30;[3.902125   1.53148304]
31;[3.89192159 1.52550222]
32;[3.88138913 1.51933568]
33;[3.87052831 1.51298415]
34;[3.85933984 1.50644833]
35;[3.84782447 1.49972894]
36;[3.83598296 1.49282671]
37;[3.82381614 1.48574235]
38;[3.81132484 1.47847662]
39;[3.79850992 1.47103025]
40;[3.78537228 1.46340398]
41;[3.77191286 1.45559858]
42;[3.7581326 1.4476148]
43;[3.74403251 1.43945341]
44;[3.72961359 1.43111518]
45;[3.7148769  1.42260089]
46;[3.69982351 1.41391133]
47;[3.68445455 1.4050473 ]
48;[3.66877113 1.39600959]
49;[3.65277445 1.38679901]
50;[3.63646568 1.37741638]
51;[3.61984607 1.36786251]
52;[3.60291688 1.35813824]
53;[3.58567938 1.34824441]
54;[3.5681349  1.33818185]
55;[3.55028479 1.32795141]
56;[3.53213042 1.31755397]
57;[3.51367321 1.30699037]
58;[3.49491458 1.2962615 ]
59;[3.475856   1.28536824]
60;[3.45649897 1.27431147]
61;[3.43684501 1.26309209]
62;[3.41689568 1.25171101]
63;[3.39665255 1.24016914]
64;[3.37611724 1.22846739]
65;[3.35529138 1.21660671]
66;[3.33417665 1.20458801]
67;[3.31277474 1.19241225]
68;[3.29108738 1.18008038]
69;[3.26911633 1.16759336]
70;[3.24686336 1.15495216]
71;[3.22433028 1.14215775]
72;[3.20151894 1.12921111]
73;[3.17843121 1.11611325]
74;[3.15506897 1.10286515]
75;[3.13143415 1.08946783]
76;[3.10752871 1.07592231]
77;[3.08335462 1.06222961]
78;[3.05891388 1.04839075]
79;[3.03420854 1.0344068 ]
80;[3.00924064 1.02027878]
81;[2.98401229 1.00600777]
82;[2.95852559 0.99159482]
83;[2.93278268 0.97704101]
84;[2.90678575 0.96234743]
85;[2.88053697 0.94751515]
86;[2.85403857 0.93254528]
87;[2.8272928  0.91743893]
88;[2.80030194 0.90219721]
89;[2.77306828 0.88682124]
90;[2.74559415 0.87131215]
91;[2.7178819  0.85567107]
92;[2.68993391 0.83989916]
93;[2.66175258 0.82399757]
94;[2.63334034 0.80796746]
95;[2.60469964 0.79181   ]
96;[2.57583296 0.77552636]
97;[2.5467428  0.75911773]
98;[2.51743168 0.7425853 ]
99;[2.48790217 0.72593027]
100;[2.45815682 0.70915385]
101;[2.42819825 0.69225725]
102;[2.39802906 0.67524169]
103;[2.36765192 0.65810841]
104;[2.33706948 0.64085864]
105;[2.30628443 0.62349361]
106;[2.2752995 0.6060146]
107;[2.24411742 0.58842284]
108;[2.21274094 0.5707196 ]
109;[2.18117285 0.55290616]
110;[2.14941595 0.5349838 ]
111;[2.11747307 0.51695379]
112;[2.08534705 0.49881743]
113;[2.05304075 0.48057602]
114;[2.02055707 0.46223086]
115;[1.98789891 0.44378325]
116;[1.9550692  0.42523453]
117;[1.92207089 0.406586  ]
118;[1.88890695 0.387839  ]
119;[1.85558036 0.36899485]
120;[1.82209413 0.35005491]
121;[1.78845128 0.33102051]
122;[1.75465487 0.31189301]
123;[1.72070794 0.29267376]
124;[1.68661359 0.27336412]
125;[1.65237491 0.25396546]
126;[1.61799501 0.23447915]
127;[1.58347704 0.21490656]
128;[1.54882412 0.19524908]
129;[1.51403945 0.17550809]
130;[1.47912618 0.15568499]
131;[1.44408753 0.13578116]
132;[1.4089267 0.115798 ]
133;[1.37364693 0.09573692]
134;[1.33825145 0.07559931]
135;[1.30274353 0.0553866 ]
136;[1.26712644 0.03510019]
137;[1.23140346 0.01474151]
138;[ 1.19557789 -0.00568804]
139;[ 1.15965304 -0.02618703]
140;[ 1.12363224 -0.04675403]
141;[ 1.08751883 -0.06738761]
142;[ 1.05131616 -0.08808635]
143;[ 1.01502759 -0.10884881]
144;[ 0.97865649 -0.12967355]
145;[ 0.94220624 -0.15055913]
146;[ 0.90568025 -0.17150413]
147;[ 0.8690819  -0.19250709]
148;[ 0.83241464 -0.21356657]
149;[ 0.79568186 -0.23468114]
150;[ 0.75888701 -0.25584933]
151;[ 0.72203354 -0.27706972]
152;[ 0.68512488 -0.29834084]
153;[ 0.64816451 -0.31966126]
154;[ 0.61115589 -0.34102951]
155;[ 0.57410249 -0.36244417]
156;[ 0.53700779 -0.38390377]
157;[ 0.49987528 -0.40540687]
158;[ 0.46270845 -0.42695201]
159;[ 0.42551081 -0.44853776]
160;[ 0.38828585 -0.47016266]
161;[ 0.3510371  -0.49182527]
162;[ 0.31376805 -0.51352414]
163;[ 0.27648224 -0.53525782]
164;[ 0.23918318 -0.55702489]
165;[ 0.2018744  -0.57882388]
166;[ 0.16455943 -0.60065337]
167;[ 0.1272418  -0.62251191]
168;[ 0.08992504 -0.64439807]
169;[ 0.0526127  -0.66631042]
170;[ 0.0153083  -0.68824753]
171;[-0.02198461 -0.71020797]
172;[-0.0592625  -0.73219032]
173;[-0.09652183 -0.75419315]
174;[-0.13375905 -0.77621504]
175;[-0.17097062 -0.79825458]
176;[-0.20815302 -0.82031037]
177;[-0.2453027  -0.84238099]
178;[-0.28241613 -0.86446504]
179;[-0.31948977 -0.88656113]
180;[-0.3565201  -0.90866785]
181;[-0.39350358 -0.93078383]
182;[-0.43043669 -0.95290767]
183;[-0.46731591 -0.975038  ]
184;[-0.50413773 -0.99717344]
185;[-0.54089862 -1.01931264]
186;[-0.57759509 -1.04145421]
187;[-0.61422362 -1.06359682]
188;[-0.65078072 -1.0857391 ]
189;[-0.6872629  -1.10787973]
190;[-0.72366668 -1.13001735]
191;[-0.75998856 -1.15215063]
192;[-0.79622509 -1.17427827]
193;[-0.83237279 -1.19639893]
194;[-0.86842821 -1.21851131]
195;[-0.9043879  -1.24061412]
196;[-0.94024842 -1.26270604]
197;[-0.97600633 -1.28478581]
198;[-1.01165821 -1.30685214]
199;[-1.04720065 -1.32890376]
200;[-1.08263025 -1.35093942]
201;[-1.1179436  -1.37295785]
202;[-1.15313733 -1.39495782]
203;[-1.18820806 -1.41693809]
204;[-1.22315243 -1.43889744]
205;[-1.2579671  -1.46083466]
206;[-1.29264871 -1.48274853]
207;[-1.32719395 -1.50463785]
208;[-1.3615995  -1.52650145]
209;[-1.39586206 -1.54833815]
210;[-1.42997834 -1.57014678]
211;[-1.46394506 -1.59192619]
212;[-1.49775897 -1.61367523]
213;[-1.53141681 -1.63539276]
214;[-1.56491536 -1.65707767]
215;[-1.59825139 -1.67872884]
216;[-1.63142169 -1.70034518]
217;[-1.66442309 -1.72192559]
218;[-1.6972524  -1.74346899]
219;[-1.72990647 -1.76497433]
220;[-1.76238216 -1.78644055]
221;[-1.79467633 -1.8078666 ]
222;[-1.82678588 -1.82925146]
223;[-1.85870772 -1.85059412]
224;[-1.89043877 -1.87189356]
225;[-1.92197597 -1.8931488 ]
226;[-1.95331628 -1.91435886]
227;[-1.98445668 -1.93552278]
228;[-2.01539415 -1.9566396 ]
229;[-2.04612572 -1.97770839]
230;[-2.07664841 -1.99872821]
231;[-2.10695928 -2.01969817]
