X;Y
0;[ 0.         -0.53573456]
1;[ 0.         -0.53458247]
2;[ 0.         -0.53348658]
3;[ 0.         -0.53244579]
4;[ 0.         -0.53145907]
5;[ 0.         -0.53052538]
6;[ 0.         -0.52964373]
7;[ 0.         -0.52881314]
8;[ 0.         -0.52803264]
9;[ 0.         -0.52730132]
10;[ 0.         -0.52661827]
11;[ 0.        -0.5259826]
12;[ 0.         -0.52539345]
13;[ 0.         -0.52484997]
14;[ 0.         -0.52435136]
15;[ 0.         -0.52389681]
16;[ 0.         -0.52348554]
17;[ 0.        -0.5231168]
18;[ 0.         -0.52278985]
19;[ 0.         -0.52250398]
20;[ 0.         -0.52225847]
21;[ 0.         -0.52205266]
22;[ 0.         -0.52188588]
23;[ 0.        -0.5217575]
24;[ 0.         -0.52166687]
25;[ 0.        -0.5216134]
26;[ 0.        -0.5215965]
27;[ 0.         -0.52161559]
28;[ 0.         -0.52167011]
29;[ 0.         -0.52175952]
30;[ 0.        -0.5218833]
31;[ 0.         -0.52204094]
32;[ 0.         -0.52223194]
33;[ 0.         -0.52245582]
34;[ 0.         -0.52271213]
35;[ 0.        -0.5230004]
36;[ 0.        -0.5233202]
37;[ 0.         -0.52367111]
38;[ 0.         -0.52405273]
39;[ 0.         -0.52446465]
40;[ 0.         -0.52490649]
41;[ 0.         -0.52537788]
42;[ 0.         -0.52587848]
43;[ 0.         -0.52640792]
44;[ 0.         -0.52696589]
45;[ 0.         -0.52755205]
46;[ 0.        -0.5281661]
47;[ 0.         -0.52880774]
48;[ 0.         -0.52947669]
49;[ 0.         -0.53017267]
50;[ 0.         -0.53089541]
51;[ 0.         -0.53164465]
52;[ 0.         -0.53242016]
53;[ 0.        -0.5332217]
54;[ 0.         -0.53404904]
55;[ 0.         -0.53490197]
56;[ 0.         -0.53578028]
57;[ 0.         -0.53668378]
58;[ 0.         -0.53761227]
59;[ 0.         -0.53856558]
60;[ 0.         -0.53954354]
61;[ 0.         -0.54054598]
62;[ 0.         -0.54157275]
63;[ 0.         -0.54262371]
64;[ 0.         -0.54369871]
65;[ 0.         -0.54479762]
66;[ 0.         -0.54592033]
67;[ 0.         -0.54706672]
68;[ 0.         -0.54823667]
69;[ 0.         -0.54943009]
70;[ 0.         -0.55064688]
71;[ 0.         -0.55188695]
72;[ 0.         -0.55315022]
73;[ 0.         -0.55443662]
74;[ 0.         -0.55574608]
75;[ 0.         -0.55707853]
76;[ 0.         -0.55843392]
77;[ 0.        -0.5598122]
78;[ 0.         -0.56121332]
79;[ 0.         -0.56263724]
80;[ 0.         -0.56408392]
81;[ 0.         -0.56555335]
82;[ 0.         -0.56704549]
83;[ 0.         -0.56856032]
84;[ 0.         -0.57009784]
85;[ 0.         -0.57165803]
86;[ 0.         -0.57324089]
87;[ 0.         -0.57484642]
88;[ 0.         -0.57647463]
89;[ 0.         -0.57812552]
90;[ 0.        -0.5797991]
91;[ 0.         -0.58149541]
92;[ 0.         -0.58321445]
93;[ 0.         -0.58495626]
94;[ 0.         -0.58672087]
95;[ 0.         -0.58850831]
96;[ 0.         -0.59031861]
97;[ 0.         -0.59215183]
98;[ 0.         -0.59400801]
99;[ 0.         -0.59588719]
100;[ 0.         -0.59778944]
101;[ 0.        -0.5997148]
102;[ 0.         -0.60166334]
103;[ 0.         -0.60363512]
104;[ 0.        -0.6056302]
105;[ 0.         -0.60764867]
106;[ 0.         -0.60969059]
107;[ 0.         -0.61175603]
108;[ 0.         -0.61384509]
109;[ 0.         -0.61595784]
110;[ 0.         -0.61809437]
111;[ 0.         -0.62025476]
112;[ 0.         -0.62243912]
113;[ 0.         -0.62464753]
114;[ 0.         -0.62688009]
115;[ 0.         -0.62913691]
116;[ 0.         -0.63141809]
117;[ 0.         -0.63372374]
118;[ 0.         -0.63605397]
119;[ 0.         -0.63840888]
120;[ 0.         -0.64078861]
121;[ 0.         -0.64319326]
122;[ 0.         -0.64562296]
123;[ 0.         -0.64807783]
124;[ 0.       -0.650558]
125;[ 0.        -0.6530636]
126;[ 0.         -0.65559477]
