X;Y
0;-48.643518384717275
1;-48.6434923672485
2;-48.643394190797984
3;-48.643226958553775
4;-48.64299356972429
5;-48.64269673119534
6;-48.64233896849447
7;-48.64192263610386
8;-48.64144992716055
9;-48.640922882580185
10;-48.640343399638375
11;-48.63971324004176
12;-48.63903403751867
13;-48.63830730495768
14;-48.637534441120536
15;-48.6367167369543
16;-48.63585538152626
17;-48.63495146760337
18;-48.63400599689707
19;-48.63301988499295
20;-48.6319939659832
21;-48.63092899681958
22;-48.62982566140252
23;-48.62868457442187
24;-48.62750628496351
25;-48.62629127989528
26;-48.625039987044744
27;-48.62375277818096
28;-48.62242997181109
29;-48.62107183580274
30;-48.61967858984157
31;-48.61825040773388
32;-48.61678741956251
33;-48.61528971370463
34;-48.613757338719026
35;-48.61219030511022
36;-48.61058858697615
37;-48.60895212354609
38;-48.60728082061463
39;-48.60557455187768
40;-48.603833160175455
41;-48.60205645864804
42;-48.60024423180769
43;-48.59839623653274
44;-48.59651220298704
45;-48.59459183546902
46;-48.59263481319397
47;-48.59064079101296
48;-48.588609400071775
49;-48.586540248412774
50;-48.58443292152266
51;-48.582286982828684
52;-48.58010197414592
53;-48.57787741607791
54;-48.57561280837291
55;-48.57330763023764
56;-48.57096134061075
57;-48.56857337839745
58;-48.56614316266731
59;-48.563670092816494
60;-48.5611535486961
61;-48.55859289070777
62;-48.55598745986809
63;-48.55333657784256
64;-48.55063954695052
65;-48.547895650141925
66;-48.54510415094686
67;-48.542264293398574
68;-48.53937530193091
69;-48.53643638125082
70;-48.53344671618646
71;-48.5304054715116
72;-48.527311791746726
73;-48.52416480093741
74;-48.520963602410234
75;-48.51770727850663
76;-48.51439489029504
77;-48.511025477261526
78;-48.50759805697898
79;-48.50411162475531
80;-48.50056515326045
81;-48.496957592132425
82;-48.493287867562444
83;-48.48955488185898
84;-48.48575751299083
85;-48.48189461410899
86;-48.47796501304726
87;-48.47396751180142
88;-48.469900885986625
89;-48.46576388427302
90;-48.461555227798975
91;-48.4572736095619
92;-48.45291769378608
93;-48.448486115267166
94;-48.44397747869303
95;-48.43939035794022
96;-48.43472329534577
97;-48.42997480095366
98;-48.425143351735386
99;-48.42022739078389
100;-48.41522532648041
101;-48.41013553163324
102;-48.40495634258782
103;-48.399686058307346
104;-48.394322939422885
105;-48.38886520725229
106;-48.383311042786815
107;-48.37765858564455
108;-48.37190593298942
109;-48.366051138414946
110;-48.360092210791265
111;-48.35402711307444
112;-48.347853761076664
113;-48.34157002219597
114;-48.33517371410417
115;-48.328662603391415
116;-48.322034404165834
117;-48.315286776606705
118;-48.30841732546938
119;-48.30142359854018
120;-48.2943030850394
121;-48.28705321397047
122;-48.279671352413146
123;-48.27215480375873
124;-48.264500805884836
125;-48.25670652926749
126;-48.24876907502808
127;-48.24068547291242
128;-48.23245267919938
129;-48.22406757453603
130;-48.215526961696476
131;-48.206827563261044
132;-48.19796601921276
133;-48.18893888444728
134;-48.179742626193146
135;-48.17037362133796
136;-48.160828153657
137;-48.15110241093966
138;-48.1411924820095
139;-48.13109435363324
140;-48.12080390731364
141;-48.110316915961405
142;-48.09962904044036
143;-48.088735825980535
144;-48.07763269845296
145;-48.06631496049994
146;-48.05477778751414
147;-48.043016223459574
148;-48.03102517652699
149;-48.01879941461608
150;-48.00633356063616
151;-47.993622087616814
152;-47.98065931361931
153;-47.96743939643939
154;-47.95395632809091
155;-47.94020392906022
156;-47.92617584231932
157;-47.911865527086505
158;-47.89726625232139
159;-47.88237108994128
160;-47.86717290774468
161;-47.851664362027094
162;-47.835837889873225
163;-47.81968570110908
164;-47.80319976989607
165;-47.78637182594854
166;-47.76919334535485
167;-47.751655540980906
168;-47.73374935243392
169;-47.71546543556272
170;-47.696794151469554
171;-47.67772555500657
172;-47.658249382729
173;-47.6383550402747
174;-47.6180315891384
175;-47.59726773280647
176;-47.5760518022165
177;-47.55437174050289
178;-47.53221508698819
179;-47.50956896037631
180;-47.4864200411017
181;-47.46275455278511
182;-47.43855824274369
183;-47.413816361499514
184;-47.388513641226965
185;-47.36263427307576
186;-47.33616188330174
187;-47.30907950813349
188;-47.28136956729786
189;-47.25301383612209
190;-47.2239934161253
191;-47.19428870400545
192;-47.163879358922316
193;-47.132744267969755
194;-47.10086150972354
195;-47.06820831574332
196;-47.03476102989906
197;-47.00049506538336
198;-46.96538485926209
199;-46.92940382440521
200;-46.89252429862981
201;-46.85471749087512
202;-46.81595342421853
203;-46.776200875527664
204;-46.73542731153134
205;-46.69359882107722
206;-46.65068004332966
207;-46.60663409164562
208;-46.56142247284995
209;-46.51500500161508
210;-46.46733970963217
211;-46.418382749243484
212;-46.368088291187206
213;-46.31640841608818
214;-46.26329299930977
215;-46.2086895887647
216;-46.15254327526636
217;-46.09479655498697
218;-46.03538918357627
219;-45.974258021484744
220;-45.911336870029544
221;-45.8465562977412
222;-45.779843456535794
223;-45.71112188727274
224;-45.640311314285256
225;-45.56732742851128
226;-45.492081658910784
227;-45.41448093193587
228;-45.33442741892554
229;-45.25181827143696
230;-45.16654534470243
231;-45.078494909628
232;-44.98754735403296
233;-44.893576874181896
234;-44.796451158096176
235;-44.696031062664076
236;-44.59217028721652
237;-44.48471504701866
238;-44.373503751068036
239;-44.25836668971232
240;-44.13912573893079
241;-44.015594089689856
242;-43.887576012612925
243;-43.75486667032328
244;-43.61725199224869
245;-43.47450862943055
246;-43.32640400996151
247;-43.172696519066385
248;-43.01313583149846
249;-42.84746342776742
250;-42.67541332961784
251;-42.496713093950646
252;-42.311085107757634
253;-42.11824822926836
254;-41.91791982193446
255;-41.7098182275375
256;-41.493665721941014
257;-41.26919199107261
258;-41.036138154833715
259;-40.79426135204271
260;-40.54333987960051
261;-40.28317885347454
262;-40.01361632790636
263;-39.73452977313936
264;-39.44584277238377
265;-39.14753175799971
266;-38.83963256817897
267;-38.522246572675755
268;-38.19554609373209
269;-37.85977884055265
270;-37.515271086080986
271;-37.1624293455927
272;-36.801740367916324
273;-36.433769319698776
274;-36.05915612641637
275;-35.678610024155205
276;-35.292902465700465
277;-34.90285860518833
278;-34.5093476504741
279;-34.11327241637106
280;-33.71555843247035
281;-33.317142956497555
282;-32.9189642206271
283;-32.5219511981588
284;-32.127014126735574
285;-31.73503596730059
286;-31.34686492022704
287;-30.963308065546375
288;-30.585126145848356
289;-30.213029469961917
290;-29.847674883654154
291;-29.489663730192987
292;-29.13954070801904
293;-28.797793523929254
294;-28.46485323689629
295;-28.141095188728734
296;-27.826840422092303
297;-27.52235749297612
298;-27.22786459267452
299;-26.94353190310305
300;-26.669484118268038
301;-26.40580307358686
302;-26.152530433247065
303;-25.90967039372353
304;-25.67719236884007
305;-25.455033628315924
306;-25.243101867566786
307;-25.041277691651523
308;-24.849417000703472
309;-24.667353268007062
310;-24.494899705128155
311;-24.33185131123649
312;-24.1779868060266
313;-24.033070447503434
314;-23.896853737400914
315;-23.769077018194515
316;-23.649470966593253
317;-23.53775798909259
318;-23.433653525670213
319;-23.336867268041907
320;-23.24710429908892
321;-23.164066160144387
322;-23.08745185279976
323;-23.016958781779095
324;-22.952283645238385
325;-22.89312327858818
326;-22.839175457615116
327;-22.790139666294877
328;-22.745717834247507
329;-22.70561504828509
330;-22.669540241941842
331;-22.63720686625586
332;-22.6083335443907
333;-22.582644711943935
334;-22.55987124399182
335;-22.53975106907073
336;-22.52202976940526
337;-22.50646116577522
338;-22.492807884485977
339;-22.4808419029939
340;-22.470345069868763
341;-22.461109593981526
342;-22.452938497124897
343;-22.445646023745404
344;-22.439058001125566
345;-22.43301214324126
