X;Y
0;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
1;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
2;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
3;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
4;"[[4.66299999 2.33      ]
 [2.33       1.33      ]]"
5;"[[4.66299998 2.32999999]
 [2.32999999 1.33      ]]"
6;"[[4.66299995 2.32999998]
 [2.32999998 1.33      ]]"
7;"[[4.66299991 2.32999996]
 [2.32999996 1.33      ]]"
8;"[[4.66299985 2.32999993]
 [2.32999993 1.33      ]]"
9;"[[4.66299976 2.32999988]
 [2.32999988 1.33      ]]"
10;"[[4.66299964 2.32999982]
 [2.32999982 1.33      ]]"
11;"[[4.66299948 2.32999974]
 [2.32999974 1.33      ]]"
12;"[[4.66299927 2.32999963]
 [2.32999963 1.33      ]]"
13;"[[4.662999  2.3299995]
 [2.3299995 1.33     ]]"
14;"[[4.66299866 2.32999933]
 [2.32999933 1.33      ]]"
15;"[[4.66299825 2.32999912]
 [2.32999912 1.33      ]]"
16;"[[4.66299774 2.32999887]
 [2.32999887 1.33      ]]"
17;"[[4.66299714 2.32999857]
 [2.32999857 1.33      ]]"
18;"[[4.66299643 2.32999822]
 [2.32999822 1.33      ]]"
19;"[[4.6629956 2.3299978]
 [2.3299978 1.33     ]]"
20;"[[4.66299463 2.32999731]
 [2.32999731 1.33      ]]"
21;"[[4.66299351 2.32999676]
 [2.32999676 1.33      ]]"
22;"[[4.66299223 2.32999612]
 [2.32999612 1.33      ]]"
23;"[[4.66299078 2.32999539]
 [2.32999539 1.33      ]]"
24;"[[4.66298913 2.32999457]
 [2.32999457 1.33      ]]"
25;"[[4.66298728 2.32999364]
 [2.32999364 1.33      ]]"
26;"[[4.66298521 2.32999261]
 [2.32999261 1.33      ]]"
27;"[[4.66298291 2.32999145]
 [2.32999145 1.33      ]]"
28;"[[4.66298035 2.32999017]
 [2.32999017 1.33      ]]"
29;"[[4.66297752 2.32998876]
 [2.32998876 1.33      ]]"
30;"[[4.66297441 2.32998721]
 [2.32998721 1.33      ]]"
31;"[[4.662971  2.3299855]
 [2.3299855 1.33     ]]"
32;"[[4.66296727 2.32998363]
 [2.32998363 1.33      ]]"
33;"[[4.6629632 2.3299816]
 [2.3299816 1.33     ]]"
34;"[[4.66295877 2.32997939]
 [2.32997939 1.33      ]]"
35;"[[4.66295397 2.32997699]
 [2.32997699 1.33      ]]"
