X;Y
0;[-1.4046  0.    ]
1;[-1.40460447e+00 -6.15305848e-06]
2;[-1.40461791e+00 -2.45504251e-05]
3;[-1.40464039e+00 -5.50688578e-05]
4;[-1.40467195e+00 -9.75870458e-05]
5;[-1.40471265e+00 -1.51985572e-04]
6;[-1.40476256e+00 -2.18146877e-04]
7;[-1.40482171e+00 -2.95955221e-04]
8;[-1.40489015e+00 -3.85296652e-04]
9;[-1.40496794e+00 -4.86058970e-04]
10;[-1.40505512e+00 -5.98131692e-04]
11;[-1.40515173e+00 -7.21406022e-04]
12;[-1.40525781e+00 -8.55774817e-04]
13;[-1.40537340e+00 -1.00113256e-03]
14;[-1.40549854e+00 -1.15737531e-03]
15;[-1.40563325e+00 -1.32440072e-03]
16;[-1.40577758 -0.00150211]
17;[-1.40593155 -0.0016904 ]
18;[-1.40609519 -0.00188917]
19;[-1.40626853 -0.00209833]
20;[-1.40645159 -0.00231779]
21;[-1.40664439 -0.00254745]
22;[-1.40684696 -0.00278721]
23;[-1.4070593  -0.00303699]
24;[-1.40728145 -0.0032967 ]
25;[-1.40751342 -0.00356624]
26;[-1.40775521 -0.00384554]
27;[-1.40800683 -0.0041345 ]
28;[-1.40826831 -0.00443305]
29;[-1.40853964 -0.00474109]
30;[-1.40882083 -0.00505855]
31;[-1.40911188 -0.00538535]
32;[-1.4094128 -0.0057214]
33;[-1.40972359 -0.00606663]
34;[-1.41004424 -0.00642096]
35;[-1.41037475 -0.00678431]
36;[-1.41071511 -0.00715661]
37;[-1.41106532 -0.00753778]
38;[-1.41142538 -0.00792776]
39;[-1.41179526 -0.00832646]
40;[-1.41217496 -0.00873382]
41;[-1.41256447 -0.00914977]
42;[-1.41296376 -0.00957423]
43;[-1.41337283 -0.01000715]
44;[-1.41379165 -0.01044844]
45;[-1.41422019 -0.01089806]
46;[-1.41465845 -0.01135592]
47;[-1.4151064  -0.01182197]
48;[-1.41556401 -0.01229614]
49;[-1.41603125 -0.01277837]
50;[-1.4165081 -0.0132686]
51;[-1.41699452 -0.01376677]
52;[-1.41749049 -0.01427282]
53;[-1.41799596 -0.01478668]
54;[-1.41851092 -0.0153083 ]
55;[-1.41903531 -0.01583762]
56;[-1.41956911 -0.01637459]
57;[-1.42011226 -0.01691914]
58;[-1.42066474 -0.01747123]
59;[-1.4212265 -0.0180308]
60;[-1.4217975 -0.0185978]
61;[-1.42237768 -0.01917216]
62;[-1.42296701 -0.01975385]
63;[-1.42356543 -0.0203428 ]
64;[-1.4241729  -0.02093897]
65;[-1.42478936 -0.02154232]
66;[-1.42541477 -0.02215277]
67;[-1.42604906 -0.0227703 ]
68;[-1.42669218 -0.02339486]
69;[-1.42734408 -0.02402638]
70;[-1.4280047  -0.02466484]
71;[-1.42867397 -0.02531018]
72;[-1.42935184 -0.02596235]
73;[-1.43003825 -0.02662132]
74;[-1.43073312 -0.02728704]
75;[-1.4314364  -0.02795947]
76;[-1.43214802 -0.02863856]
77;[-1.43286791 -0.02932427]
78;[-1.43359601 -0.03001656]
79;[-1.43433224 -0.03071539]
80;[-1.43507653 -0.03142072]
81;[-1.4358288  -0.03213252]
82;[-1.43658899 -0.03285074]
83;[-1.43735702 -0.03357534]
84;[-1.43813282 -0.03430628]
85;[-1.43891629 -0.03504354]
86;[-1.43970737 -0.03578707]
87;[-1.44050598 -0.03653684]
88;[-1.44131203 -0.03729282]
89;[-1.44212545 -0.03805496]
90;[-1.44294613 -0.03882323]
91;[-1.44377402 -0.03959761]
92;[-1.444609   -0.04037806]
93;[-1.44545101 -0.04116454]
94;[-1.44629995 -0.04195703]
95;[-1.44715573 -0.04275549]
96;[-1.44801825 -0.0435599 ]
97;[-1.44888744 -0.04437022]
98;[-1.44976319 -0.04518643]
99;[-1.45064541 -0.04600849]
100;[-1.45153401 -0.04683637]
101;[-1.45242889 -0.04767006]
102;[-1.45332995 -0.04850952]
103;[-1.4542371  -0.04935473]
104;[-1.45515023 -0.05020566]
105;[-1.45606925 -0.05106228]
106;[-1.45699405 -0.05192458]
107;[-1.45792453 -0.05279251]
108;[-1.45886059 -0.05366607]
109;[-1.45980212 -0.05454523]
110;[-1.46074902 -0.05542997]
111;[-1.46170119 -0.05632026]
112;[-1.46265851 -0.05721608]
113;[-1.46362087 -0.05811741]
114;[-1.46458818 -0.05902423]
115;[-1.46556031 -0.05993652]
116;[-1.46653716 -0.06085426]
117;[-1.46751862 -0.06177743]
118;[-1.46850456 -0.06270602]
119;[-1.46949489 -0.06364   ]
120;[-1.47048948 -0.06457935]
121;[-1.47148823 -0.06552407]
122;[-1.472491   -0.06647413]
123;[-1.4734977  -0.06742952]
124;[-1.47450819 -0.06839022]
125;[-1.47552236 -0.06935622]
126;[-1.4765401 -0.0703275]
127;[-1.47756127 -0.07130405]
128;[-1.47858577 -0.07228586]
129;[-1.47961347 -0.07327291]
130;[-1.48064425 -0.07426519]
131;[-1.48167798 -0.07526269]
132;[-1.48271454 -0.07626539]
133;[-1.4837538 -0.0772733]
134;[-1.48479565 -0.07828638]
135;[-1.48583995 -0.07930465]
136;[-1.48688659 -0.08032808]
137;[-1.48793542 -0.08135667]
138;[-1.48898633 -0.08239041]
139;[-1.49003918 -0.08342929]
140;[-1.49109386 -0.08447331]
141;[-1.49215021 -0.08552245]
142;[-1.49320813 -0.08657672]
143;[-1.49426747 -0.0876361 ]
144;[-1.49532811 -0.0887006 ]
145;[-1.49638991 -0.0897702 ]
146;[-1.49745274 -0.0908449 ]
147;[-1.49851647 -0.0919247 ]
148;[-1.49958096 -0.0930096 ]
149;[-1.50064608 -0.09409959]
150;[-1.5017117  -0.09519466]
151;[-1.50277768 -0.09629483]
152;[-1.50384389 -0.09740009]
153;[-1.50491018 -0.09851043]
154;[-1.50597643 -0.09962586]
155;[-1.50704249 -0.10074637]
156;[-1.50810823 -0.10187198]
157;[-1.50917351 -0.10300267]
158;[-1.5102382  -0.10413845]
159;[-1.51130215 -0.10527933]
160;[-1.51236523 -0.10642531]
161;[-1.51342729 -0.10757638]
162;[-1.5144882  -0.10873256]
163;[-1.51554781 -0.10989385]
164;[-1.51660599 -0.11106026]
165;[-1.5176626  -0.11223178]
166;[-1.5187175  -0.11340843]
167;[-1.51977053 -0.11459021]
168;[-1.52082157 -0.11577713]
169;[-1.52187047 -0.11696921]
170;[-1.52291709 -0.11816643]
171;[-1.52396129 -0.11936882]
172;[-1.52500292 -0.12057639]
173;[-1.52604184 -0.12178914]
174;[-1.52707791 -0.12300708]
175;[-1.52811099 -0.12423023]
176;[-1.52914092 -0.1254586 ]
177;[-1.53016758 -0.1266922 ]
178;[-1.53119081 -0.12793103]
179;[-1.53221047 -0.12917513]
180;[-1.53322642 -0.13042449]
181;[-1.53423851 -0.13167914]
182;[-1.5352466  -0.13293909]
183;[-1.53625054 -0.13420434]
184;[-1.53725019 -0.13547493]
185;[-1.53824541 -0.13675087]
186;[-1.53923605 -0.13803217]
187;[-1.54022196 -0.13931885]
188;[-1.541203   -0.14061094]
189;[-1.54217903 -0.14190844]
190;[-1.5431499  -0.14321138]
191;[-1.54411547 -0.14451978]
192;[-1.54507559 -0.14583366]
193;[-1.54603011 -0.14715304]
194;[-1.5469789  -0.14847794]
195;[-1.5479218  -0.14980839]
196;[-1.54885867 -0.15114441]
197;[-1.54978937 -0.15248603]
198;[-1.55071376 -0.15383326]
199;[-1.55163168 -0.15518613]
200;[-1.55254299 -0.15654467]
201;[-1.55344755 -0.15790891]
202;[-1.55434521 -0.15927886]
203;[-1.55523583 -0.16065457]
204;[-1.55611927 -0.16203606]
205;[-1.55699537 -0.16342335]
206;[-1.55786401 -0.16481648]
207;[-1.55872502 -0.16621548]
208;[-1.55957827 -0.16762037]
209;[-1.56042362 -0.1690312 ]
210;[-1.56126091 -0.17044799]
211;[-1.56209002 -0.17187077]
212;[-1.56291079 -0.17329959]
213;[-1.56372307 -0.17473446]
214;[-1.56452674 -0.17617544]
215;[-1.56532164 -0.17762255]
216;[-1.56610764 -0.17907583]
217;[-1.56688458 -0.18053533]
218;[-1.56765234 -0.18200107]
219;[-1.56841076 -0.1834731 ]
220;[-1.5691597  -0.18495145]
221;[-1.56989903 -0.18643617]
222;[-1.5706286 -0.1879273]
223;[-1.57134827 -0.18942488]
224;[-1.57205791 -0.19092895]
225;[-1.57275736 -0.19243956]
226;[-1.57344649 -0.19395674]
227;[-1.57412517 -0.19548056]
228;[-1.57479325 -0.19701105]
229;[-1.57545058 -0.19854825]
230;[-1.57609705 -0.20009222]
231;[-1.57673249 -0.20164301]
232;[-1.57735678 -0.20320066]
233;[-1.57796978 -0.20476523]
234;[-1.57857135 -0.20633676]
235;[-1.57916136 -0.20791532]
236;[-1.57973966 -0.20950094]
237;[-1.58030612 -0.21109369]
238;[-1.5808606  -0.21269361]
239;[-1.58140297 -0.21430077]
240;[-1.58193309 -0.21591523]
241;[-1.58245083 -0.21753703]
242;[-1.58295605 -0.21916624]
243;[-1.58344861 -0.22080292]
244;[-1.58392839 -0.22244713]
245;[-1.58439525 -0.22409892]
246;[-1.58484905 -0.22575837]
247;[-1.58528966 -0.22742553]
248;[-1.58571696 -0.22910047]
249;[-1.5861308  -0.23078326]
250;[-1.58653106 -0.23247395]
251;[-1.5869176  -0.23417263]
252;[-1.58729029 -0.23587935]
253;[-1.58764901 -0.23759419]
254;[-1.58799362 -0.23931722]
255;[-1.58832399 -0.24104851]
256;[-1.58863999 -0.24278813]
257;[-1.58894149 -0.24453615]
258;[-1.58922838 -0.24629266]
259;[-1.5895005  -0.24805773]
260;[-1.58975775 -0.24983143]
261;[-1.58999998 -0.25161385]
262;[-1.59022708 -0.25340506]
263;[-1.59043892 -0.25520515]
264;[-1.59063537 -0.2570142 ]
265;[-1.5908163  -0.25883229]
266;[-1.59098159 -0.2606595 ]
267;[-1.59113112 -0.26249593]
268;[-1.59126476 -0.26434166]
269;[-1.59138238 -0.26619677]
270;[-1.59148387 -0.26806137]
271;[-1.59156909 -0.26993554]
272;[-1.59163793 -0.27181937]
273;[-1.59169026 -0.27371295]
274;[-1.59172596 -0.27561639]
275;[-1.59174491 -0.27752978]
276;[-1.59174699 -0.27945322]
277;[-1.59173208 -0.2813868 ]
278;[-1.59170005 -0.28333063]
279;[-1.59165079 -0.28528482]
280;[-1.59158417 -0.28724945]
281;[-1.59150009 -0.28922465]
282;[-1.5913984  -0.29121052]
283;[-1.59127901 -0.29320716]
284;[-1.59114179 -0.29521469]
285;[-1.59098662 -0.29723321]
286;[-1.59081339 -0.29926285]
287;[-1.59062197 -0.30130371]
288;[-1.59041226 -0.30335591]
289;[-1.59018413 -0.30541958]
290;[-1.58993746 -0.30749482]
291;[-1.58967216 -0.30958177]
292;[-1.58938809 -0.31168054]
293;[-1.58908514 -0.31379126]
294;[-1.5887632  -0.31591405]
295;[-1.58842215 -0.31804906]
296;[-1.58806188 -0.32019639]
297;[-1.58768227 -0.32235619]
298;[-1.58728322 -0.3245286 ]
299;[-1.58686461 -0.32671374]
300;[-1.58642632 -0.32891175]
301;[-1.58596824 -0.33112278]
302;[-1.58549027 -0.33334696]
303;[-1.58499228 -0.33558443]
304;[-1.58447417 -0.33783536]
305;[-1.58393582 -0.34009987]
306;[-1.58337713 -0.34237812]
307;[-1.58279798 -0.34467026]
308;[-1.58219826 -0.34697644]
309;[-1.58157786 -0.34929683]
310;[-1.58093667 -0.35163157]
311;[-1.58027458 -0.35398082]
312;[-1.57959148 -0.35634476]
313;[-1.57888726 -0.35872354]
314;[-1.5781618  -0.36111732]
315;[-1.57741501 -0.36352628]
316;[-1.57664677 -0.36595059]
317;[-1.57585696 -0.36839042]
318;[-1.57504549 -0.37084595]
319;[-1.57421224 -0.37331735]
320;[-1.5733571 -0.3758048]
321;[-1.57247997 -0.37830849]
322;[-1.57158073 -0.38082859]
323;[-1.57065927 -0.38336531]
324;[-1.56971549 -0.38591883]
325;[-1.56874928 -0.38848933]
326;[-1.56776053 -0.39107702]
327;[-1.56674912 -0.3936821 ]
328;[-1.56571496 -0.39630475]
329;[-1.56465792 -0.3989452 ]
330;[-1.56357791 -0.40160363]
331;[-1.56247481 -0.40428026]
332;[-1.56134851 -0.40697531]
333;[-1.56019891 -0.40968898]
334;[-1.55902589 -0.41242149]
335;[-1.55782934 -0.41517306]
336;[-1.55660916 -0.41794392]
337;[-1.55536523 -0.42073428]
338;[-1.55409745 -0.42354438]
339;[-1.55280569 -0.42637445]
340;[-1.55148986 -0.42922472]
341;[-1.55014984 -0.43209544]
342;[-1.54878552 -0.43498683]
343;[-1.54739678 -0.43789915]
344;[-1.54598352 -0.44083264]
345;[-1.54454562 -0.44378756]
346;[-1.54308298 -0.44676415]
347;[-1.54159546 -0.44976267]
348;[-1.54008297 -0.45278339]
349;[-1.53854539 -0.45582657]
350;[-1.5369826  -0.45889247]
351;[-1.53539449 -0.46198137]
352;[-1.53378094 -0.46509354]
353;[-1.53214183 -0.46822925]
354;[-1.53047706 -0.4713888 ]
355;[-1.52878649 -0.47457247]
356;[-1.52707002 -0.47778054]
357;[-1.52532752 -0.48101331]
358;[-1.52355888 -0.48427107]
359;[-1.52176397 -0.48755414]
360;[-1.51994267 -0.4908628 ]
361;[-1.51809485 -0.49419738]
362;[-1.51622041 -0.49755819]
363;[-1.51431921 -0.50094553]
364;[-1.51239113 -0.50435975]
365;[-1.51043604 -0.50780115]
366;[-1.50845381 -0.51127007]
367;[-1.50644433 -0.51476685]
368;[-1.50440745 -0.51829183]
369;[-1.50234305 -0.52184535]
370;[-1.500251   -0.52542776]
