X;Y
0;[0. 0.]
1;[-0.00221452 -0.00302241]
2;[-0.00444369 -0.00601488]
3;[-0.00668697 -0.00897788]
4;[-0.00894383 -0.01191186]
5;[-0.01121374 -0.01481725]
6;[-0.01349617 -0.01769449]
7;[-0.0157906 -0.020544 ]
8;[-0.01809652 -0.02336621]
9;[-0.02041341 -0.02616152]
10;[-0.02274076 -0.02893034]
11;[-0.02507807 -0.03167305]
12;[-0.02742483 -0.03439004]
13;[-0.02978054 -0.03708171]
14;[-0.03214471 -0.0397484 ]
15;[-0.03451685 -0.04239051]
16;[-0.03689647 -0.04500837]
17;[-0.03928308 -0.04760236]
18;[-0.04167621 -0.05017281]
19;[-0.04407537 -0.05272006]
20;[-0.04648009 -0.05524445]
21;[-0.0488899  -0.05774632]
22;[-0.05130432 -0.06022597]
23;[-0.0537229  -0.06268374]
24;[-0.05614518 -0.06511992]
25;[-0.05857068 -0.06753484]
26;[-0.06099897 -0.06992879]
27;[-0.06342958 -0.07230207]
28;[-0.06586206 -0.07465496]
29;[-0.06829597 -0.07698776]
30;[-0.07073087 -0.07930076]
31;[-0.0731663  -0.08159422]
32;[-0.07560185 -0.08386842]
33;[-0.07803705 -0.08612363]
34;[-0.0804715  -0.08836011]
35;[-0.08290475 -0.09057813]
36;[-0.08533638 -0.09277795]
37;[-0.08776597 -0.09495981]
38;[-0.09019308 -0.09712396]
39;[-0.09261732 -0.09927065]
40;[-0.09503825 -0.10140013]
41;[-0.09745546 -0.10351262]
42;[-0.09986854 -0.10560837]
43;[-0.10227709 -0.1076876 ]
44;[-0.1046807  -0.10975055]
45;[-0.10707897 -0.11179744]
46;[-0.10947149 -0.11382849]
47;[-0.11185787 -0.11584392]
48;[-0.1142377  -0.11784394]
49;[-0.11661061 -0.11982878]
50;[-0.1189762  -0.12179864]
51;[-0.12133407 -0.12375372]
52;[-0.12368385 -0.12569424]
53;[-0.12602515 -0.12762039]
54;[-0.12835759 -0.12953238]
55;[-0.13068079 -0.13143041]
56;[-0.13299439 -0.13331466]
57;[-0.13529799 -0.13518534]
58;[-0.13759124 -0.13704263]
59;[-0.13987377 -0.13888672]
60;[-0.1421452  -0.14071781]
61;[-0.14440518 -0.14253607]
62;[-0.14665335 -0.14434168]
63;[-0.14888934 -0.14613484]
64;[-0.15111281 -0.14791571]
65;[-0.15332339 -0.14968448]
66;[-0.15552074 -0.15144131]
67;[-0.1577045  -0.15318639]
68;[-0.15987434 -0.15491989]
69;[-0.16202991 -0.15664198]
70;[-0.16417086 -0.15835282]
71;[-0.16629686 -0.16005258]
72;[-0.16840757 -0.16174143]
73;[-0.17050266 -0.16341954]
74;[-0.17258179 -0.16508706]
75;[-0.17464464 -0.16674416]
76;[-0.17669088 -0.16839101]
77;[-0.17872018 -0.17002775]
78;[-0.18073223 -0.17165455]
79;[-0.1827267  -0.17327156]
80;[-0.18470327 -0.17487894]
81;[-0.18666164 -0.17647685]
82;[-0.18860149 -0.17806543]
83;[-0.19052251 -0.17964485]
84;[-0.1924244  -0.18121525]
85;[-0.19430685 -0.18277678]
86;[-0.19616955 -0.18432959]
87;[-0.19801221 -0.18587384]
88;[-0.19983454 -0.18740966]
89;[-0.20163623 -0.18893721]
90;[-0.203417   -0.19045663]
91;[-0.20517656 -0.19196806]
92;[-0.20691462 -0.19347166]
93;[-0.20863089 -0.19496756]
94;[-0.2103251  -0.19645592]
95;[-0.21199696 -0.19793686]
96;[-0.2136462  -0.19941053]
97;[-0.21527255 -0.20087707]
98;[-0.21687574 -0.20233663]
99;[-0.21845549 -0.20378934]
100;[-0.22001154 -0.20523534]
101;[-0.22154363 -0.20667477]
102;[-0.2230515  -0.20810777]
103;[-0.22453488 -0.20953447]
104;[-0.22599353 -0.21095502]
105;[-0.2274272  -0.21236954]
106;[-0.22883562 -0.21377817]
107;[-0.23021856 -0.21518106]
108;[-0.23157577 -0.21657833]
109;[-0.23290702 -0.21797011]
110;[-0.23421205 -0.21935655]
111;[-0.23549063 -0.22073778]
112;[-0.23674254 -0.22211392]
113;[-0.23796754 -0.22348512]
114;[-0.2391654 -0.2248515]
115;[-0.2403359  -0.22621319]
116;[-0.24147882 -0.22757034]
117;[-0.24259393 -0.22892306]
118;[-0.24368102 -0.2302715 ]
119;[-0.24473988 -0.23161578]
120;[-0.24577029 -0.23295603]
121;[-0.24677205 -0.23429238]
122;[-0.24774496 -0.23562497]
123;[-0.2486888  -0.23695393]
124;[-0.24960339 -0.23827937]
125;[-0.25048851 -0.23960144]
126;[-0.25134399 -0.24092026]
127;[-0.25216963 -0.24223596]
128;[-0.25296524 -0.24354868]
129;[-0.25373063 -0.24485853]
130;[-0.25446563 -0.24616565]
131;[-0.25517006 -0.24747017]
132;[-0.25584373 -0.24877222]
133;[-0.25648648 -0.25007192]
134;[-0.25709813 -0.2513694 ]
135;[-0.25767853 -0.2526648 ]
136;[-0.25822749 -0.25395823]
137;[-0.25874487 -0.25524984]
138;[-0.2592305  -0.25653974]
139;[-0.25968422 -0.25782806]
140;[-0.2601059  -0.25911494]
141;[-0.26049536 -0.2604005 ]
142;[-0.26085248 -0.26168487]
143;[-0.2611771  -0.26296818]
144;[-0.26146908 -0.26425056]
145;[-0.26172829 -0.26553213]
146;[-0.26195459 -0.26681302]
147;[-0.26214784 -0.26809337]
148;[-0.26230793 -0.26937331]
149;[-0.26243473 -0.27065295]
150;[-0.2625281  -0.27193243]
151;[-0.26258793 -0.27321189]
152;[-0.26261411 -0.27449144]
153;[-0.26260652 -0.27577123]
154;[-0.26256505 -0.27705137]
155;[-0.26248959 -0.278332  ]
156;[-0.26238003 -0.27961325]
157;[-0.26223628 -0.28089526]
158;[-0.26205823 -0.28217814]
159;[-0.26184579 -0.28346204]
160;[-0.26159886 -0.28474709]
161;[-0.26131736 -0.28603341]
162;[-0.26100119 -0.28732114]
163;[-0.26065028 -0.28861042]
164;[-0.26026454 -0.28990136]
165;[-0.25984389 -0.29119412]
166;[-0.25938825 -0.29248882]
167;[-0.25889756 -0.2937856 ]
168;[-0.25837174 -0.29508459]
169;[-0.25781073 -0.29638593]
170;[-0.25721446 -0.29768975]
171;[-0.25658287 -0.29899619]
172;[-0.2559159  -0.30030539]
173;[-0.25521349 -0.30161748]
174;[-0.2544756  -0.30293261]
175;[-0.25370218 -0.3042509 ]
176;[-0.25289317 -0.30557251]
177;[-0.25204853 -0.30689757]
178;[-0.25116822 -0.30822621]
179;[-0.2502522  -0.30955859]
180;[-0.24930044 -0.31089485]
181;[-0.2483129  -0.31223512]
182;[-0.24728954 -0.31357955]
183;[-0.24623035 -0.31492829]
184;[-0.2451353  -0.31628148]
185;[-0.24400437 -0.31763926]
186;[-0.24283752 -0.31900179]
187;[-0.24163476 -0.32036921]
188;[-0.24039605 -0.32174167]
189;[-0.2391214  -0.32311931]
190;[-0.23781079 -0.3245023 ]
191;[-0.23646421 -0.32589078]
192;[-0.23508166 -0.3272849 ]
193;[-0.23366314 -0.32868482]
194;[-0.23220864 -0.3300907 ]
195;[-0.23071817 -0.33150268]
196;[-0.22919174 -0.33292093]
197;[-0.22762936 -0.3343456 ]
198;[-0.22603103 -0.33577685]
199;[-0.22439676 -0.33721485]
200;[-0.22272658 -0.33865975]
201;[-0.22102049 -0.34011172]
202;[-0.21927852 -0.34157093]
203;[-0.2175007  -0.34303753]
204;[-0.21568703 -0.34451169]
205;[-0.21383756 -0.34599359]
206;[-0.2119523 -0.3474834]
207;[-0.2100313  -0.34898128]
208;[-0.20807458 -0.3504874 ]
209;[-0.20608217 -0.35200195]
210;[-0.20405412 -0.3535251 ]
211;[-0.20199046 -0.35505702]
212;[-0.19989124 -0.35659789]
213;[-0.19775649 -0.3581479 ]
214;[-0.19558627 -0.35970723]
215;[-0.19338061 -0.36127606]
216;[-0.19113958 -0.36285458]
217;[-0.18886321 -0.36444298]
218;[-0.18655156 -0.36604144]
219;[-0.18420469 -0.36765015]
220;[-0.18182265 -0.36926932]
221;[-0.1794055  -0.37089913]
222;[-0.1769533  -0.37253978]
223;[-0.1744661  -0.37419147]
224;[-0.17194398 -0.37585441]
225;[-0.169387   -0.37752879]
226;[-0.16679522 -0.37921483]
227;[-0.16416871 -0.38091272]
228;[-0.16150754 -0.38262268]
229;[-0.15881178 -0.38434493]
230;[-0.1560815  -0.38607967]
231;[-0.15331678 -0.38782712]
232;[-0.15051768 -0.3895875 ]
233;[-0.14768429 -0.39136103]
234;[-0.14481668 -0.39314794]
235;[-0.14191493 -0.39494845]
236;[-0.13897912 -0.39676279]
237;[-0.13600933 -0.3985912 ]
238;[-0.13300563 -0.4004339 ]
239;[-0.12996813 -0.40229113]
240;[-0.12689689 -0.40416313]
241;[-0.123792   -0.40605015]
242;[-0.12065356 -0.40795243]
243;[-0.11748163 -0.40987021]
244;[-0.11427632 -0.41180374]
245;[-0.1110377  -0.41375329]
246;[-0.10776588 -0.4157191 ]
247;[-0.10446093 -0.41770143]
248;[-0.10112295 -0.41970056]
249;[-0.09775203 -0.42171673]
250;[-0.09434827 -0.42375022]
251;[-0.09091174 -0.4258013 ]
252;[-0.08744255 -0.42787025]
253;[-0.08394078 -0.42995734]
254;[-0.08040654 -0.43206286]
255;[-0.07683991 -0.43418708]
256;[-0.073241  -0.4363303]
257;[-0.06960988 -0.43849281]
258;[-0.06594666 -0.4406749 ]
259;[-0.06225144 -0.44287687]
260;[-0.0585243  -0.44509902]
261;[-0.05476534 -0.44734166]
262;[-0.05097466 -0.4496051 ]
263;[-0.04715235 -0.45188964]
264;[-0.04329851 -0.45419562]
265;[-0.03941323 -0.45652333]
266;[-0.0354966  -0.45887312]
