X;Y
0;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
1;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
2;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
3;"[[4.663 2.33 ]
 [2.33  1.33 ]]"
4;"[[4.66299999 2.32999999]
 [2.32999999 1.33      ]]"
5;"[[4.66299998 2.32999999]
 [2.32999999 1.33      ]]"
6;"[[4.66299995 2.32999997]
 [2.32999997 1.33      ]]"
7;"[[4.66299991 2.32999995]
 [2.32999995 1.33      ]]"
8;"[[4.66299984 2.32999992]
 [2.32999992 1.33      ]]"
9;"[[4.66299975 2.32999988]
 [2.32999988 1.33      ]]"
10;"[[4.66299962 2.32999981]
 [2.32999981 1.33      ]]"
11;"[[4.66299945 2.32999973]
 [2.32999973 1.33      ]]"
12;"[[4.66299923 2.32999961]
 [2.32999961 1.33      ]]"
13;"[[4.66299894 2.32999947]
 [2.32999947 1.33      ]]"
14;"[[4.66299859 2.32999929]
 [2.32999929 1.33      ]]"
15;"[[4.66299815 2.32999908]
 [2.32999908 1.33      ]]"
16;"[[4.66299762 2.32999881]
 [2.32999881 1.33      ]]"
17;"[[4.66299699 2.32999849]
 [2.32999849 1.33      ]]"
18;"[[4.66299624 2.32999812]
 [2.32999812 1.33      ]]"
19;"[[4.66299536 2.32999768]
 [2.32999768 1.33      ]]"
20;"[[4.66299433 2.32999717]
 [2.32999717 1.33      ]]"
21;"[[4.66299316 2.32999658]
 [2.32999658 1.33      ]]"
22;"[[4.66299181 2.3299959 ]
 [2.3299959  1.33      ]]"
23;"[[4.66299027 2.32999514]
 [2.32999514 1.33      ]]"
24;"[[4.66298854 2.32999427]
 [2.32999427 1.33      ]]"
25;"[[4.66298659 2.32999329]
 [2.32999329 1.33      ]]"
26;"[[4.66298441 2.3299922 ]
 [2.3299922  1.33      ]]"
27;"[[4.66298197 2.32999099]
 [2.32999099 1.33      ]]"
28;"[[4.66297928 2.32998964]
 [2.32998964 1.33      ]]"
29;"[[4.6629763  2.32998815]
 [2.32998815 1.33      ]]"
30;"[[4.66297302 2.32998651]
 [2.32998651 1.33      ]]"
31;"[[4.66296942 2.32998471]
 [2.32998471 1.33      ]]"
32;"[[4.66296548 2.32998274]
 [2.32998274 1.33      ]]"
33;"[[4.66296119 2.32998059]
 [2.32998059 1.33      ]]"
34;"[[4.66295652 2.32997826]
 [2.32997826 1.33      ]]"
35;"[[4.66295146 2.32997573]
 [2.32997573 1.33      ]]"
