X;Y
0;[-1.4  0. ]
1;[-1.40000459e+00 -6.31855833e-06]
2;[-1.40001841e+00 -2.52107695e-05]
3;[-1.40004151e+00 -5.65500910e-05]
4;[-1.40007394e+00 -1.00211961e-04]
5;[-1.40011578e+00 -1.56073761e-04]
6;[-1.40016707e+00 -2.24014775e-04]
7;[-1.40022786e+00 -3.03916157e-04]
8;[-1.40029821e+00 -3.95660892e-04]
9;[-1.40037815e+00 -4.99133763e-04]
10;[-1.40046775e+00 -6.14221314e-04]
11;[-1.40056704e+00 -7.40811819e-04]
12;[-1.40067606e+00 -8.78795249e-04]
13;[-1.40079486e+00 -1.02806324e-03]
14;[-1.40092347e+00 -1.18850906e-03]
15;[-1.40106192e+00 -1.36002757e-03]
16;[-1.40121025 -0.00154252]
17;[-1.40136849 -0.00173587]
18;[-1.40153666 -0.00193999]
19;[-1.40171481 -0.00215478]
20;[-1.40190294 -0.00238014]
21;[-1.40210109 -0.00261597]
22;[-1.40230927 -0.00286219]
23;[-1.40252751 -0.00311868]
24;[-1.40275581 -0.00338538]
25;[-1.40299421 -0.00366217]
26;[-1.4032427  -0.00394898]
27;[-1.4035013  -0.00424572]
28;[-1.40377003 -0.00455229]
29;[-1.40404888 -0.00486862]
30;[-1.40433786 -0.00519462]
31;[-1.40463698 -0.0055302 ]
32;[-1.40494624 -0.00587529]
33;[-1.40526564 -0.0062298 ]
34;[-1.40559518 -0.00659366]
35;[-1.40593485 -0.00696678]
36;[-1.40628465 -0.00734909]
37;[-1.40664457 -0.00774052]
38;[-1.40701461 -0.00814098]
39;[-1.40739474 -0.0085504 ]
40;[-1.40778497 -0.00896871]
41;[-1.40818527 -0.00939584]
42;[-1.40859563 -0.00983172]
43;[-1.40901604 -0.01027627]
44;[-1.40944647 -0.01072943]
45;[-1.4098869  -0.01119113]
46;[-1.41033731 -0.0116613 ]
47;[-1.41079767 -0.01213988]
48;[-1.41126797 -0.0126268 ]
49;[-1.41174816 -0.01312199]
50;[-1.41223823 -0.0136254 ]
51;[-1.41273814 -0.01413695]
52;[-1.41324786 -0.0146566 ]
53;[-1.41376736 -0.01518427]
54;[-1.41429659 -0.01571991]
55;[-1.41483553 -0.01626346]
56;[-1.41538412 -0.01681486]
57;[-1.41594235 -0.01737405]
58;[-1.41651015 -0.01794097]
59;[-1.41708749 -0.01851558]
60;[-1.41767432 -0.01909781]
61;[-1.4182706  -0.01968761]
62;[-1.41887627 -0.02028492]
63;[-1.4194913  -0.02088971]
64;[-1.42011562 -0.0215019 ]
