X;Y
0;[-1.4  0.   0.   0. ]
1;[-1.40000459e+00 -6.31855833e-06 -2.20543239e-03 -3.03289597e-03]
2;[-1.40001841e+00 -2.52107695e-05 -4.42585188e-03 -6.03518338e-03]
3;[-1.40004151e+00 -5.65500910e-05 -6.66071106e-03 -9.00734226e-03]
4;[-1.40007394e+00 -1.00211961e-04 -8.90946698e-03 -1.19498433e-02]
5;[-1.40011578e+00 -1.56073761e-04 -1.11715811e-02 -1.48631481e-02]
6;[-1.40016707e+00 -2.24014775e-04 -1.34465191e-02 -1.77477092e-02]
7;[-1.40022786e+00 -3.03916157e-04 -1.57337511e-02 -2.06039705e-02]
8;[-1.40029821e+00 -3.95660892e-04 -1.80327512e-02 -2.34323675e-02]
9;[-1.40037815e+00 -4.99133763e-04 -2.03429977e-02 -2.62333272e-02]
10;[-1.40046775e+00 -6.14221314e-04 -2.26639728e-02 -2.90072686e-02]
11;[-1.40056704e+00 -7.40811819e-04 -2.49951630e-02 -3.17546025e-02]
12;[-1.40067606e+00 -8.78795249e-04 -2.73360584e-02 -3.44757323e-02]
13;[-1.40079486e+00 -1.02806324e-03 -2.96861531e-02 -3.71710536e-02]
14;[-1.40092347e+00 -1.18850906e-03 -3.20449450e-02 -3.98409546e-02]
15;[-1.40106192e+00 -1.36002757e-03 -3.44119358e-02 -4.24858163e-02]
16;[-1.40121025 -0.00154252 -0.03678663 -0.04510601]
17;[-1.40136849 -0.00173587 -0.03916854 -0.04770191]
18;[-1.40153666 -0.00193999 -0.04155717 -0.05027387]
19;[-1.40171481 -0.00215478 -0.04395205 -0.05282225]
20;[-1.40190294 -0.00238014 -0.04635268 -0.05534739]
21;[-1.40210109 -0.00261597 -0.04875861 -0.05784963]
22;[-1.40230927 -0.00286219 -0.05116934 -0.06032932]
23;[-1.40252751 -0.00311868 -0.05358441 -0.06278677]
24;[-1.40275581 -0.00338538 -0.05600336 -0.06522231]
25;[-1.40299421 -0.00366217 -0.05842571 -0.06763627]
26;[-1.4032427  -0.00394898 -0.06085102 -0.07002894]
27;[-1.4035013  -0.00424572 -0.06327882 -0.07240065]
28;[-1.40377003 -0.00455229 -0.06570865 -0.07475168]
29;[-1.40404888 -0.00486862 -0.06814008 -0.07708234]
30;[-1.40433786 -0.00519462 -0.07057264 -0.07939291]
31;[-1.40463698 -0.0055302  -0.0730059  -0.0816837 ]
32;[-1.40494624 -0.00587529 -0.07543941 -0.08395496]
33;[-1.40526564 -0.0062298  -0.07787274 -0.08620699]
34;[-1.40559518 -0.00659366 -0.08030544 -0.08844005]
35;[-1.40593485 -0.00696678 -0.08273709 -0.09065442]
36;[-1.40628465 -0.00734909 -0.08516725 -0.09285035]
37;[-1.40664457 -0.00774052 -0.0875955  -0.09502812]
38;[-1.40701461 -0.00814098 -0.09002142 -0.09718796]
39;[-1.40739474 -0.0085504  -0.09244458 -0.09933014]
40;[-1.40778497 -0.00896871 -0.09486456 -0.10145489]
41;[-1.40818527 -0.00939584 -0.09728094 -0.10356248]
42;[-1.40859563 -0.00983172 -0.09969333 -0.10565313]
43;[-1.40901604 -0.01027627 -0.10210129 -0.10772709]
44;[-1.40944647 -0.01072943 -0.10450443 -0.10978458]
45;[-1.4098869  -0.01119113 -0.10690235 -0.11182583]
46;[-1.41033731 -0.0116613  -0.10929463 -0.11385108]
47;[-1.41079767 -0.01213988 -0.11168088 -0.11586055]
48;[-1.41126797 -0.0126268  -0.1140607  -0.11785445]
49;[-1.41174816 -0.01312199 -0.1164337  -0.11983301]
50;[-1.41223823 -0.0136254  -0.11879948 -0.12179644]
51;[-1.41273814 -0.01413695 -0.12115766 -0.12374494]
52;[-1.41324786 -0.0146566  -0.12350785 -0.12567874]
53;[-1.41376736 -0.01518427 -0.12584966 -0.12759803]
54;[-1.41429659 -0.01571991 -0.12818272 -0.12950302]
55;[-1.41483553 -0.01626346 -0.13050664 -0.1313939 ]
56;[-1.41538412 -0.01681486 -0.13282105 -0.13327089]
57;[-1.41594235 -0.01737405 -0.13512557 -0.13513416]
58;[-1.41651015 -0.01794097 -0.13741984 -0.13698393]
59;[-1.41708749 -0.01851558 -0.13970348 -0.13882037]
60;[-1.41767432 -0.01909781 -0.14197613 -0.14064368]
61;[-1.4182706  -0.01968761 -0.14423742 -0.14245404]
62;[-1.41887627 -0.02028492 -0.146487   -0.14425164]
63;[-1.4194913  -0.02088971 -0.14872449 -0.14603666]
64;[-1.42011562 -0.0215019  -0.15094956 -0.14780928]
65;[-1.42074918 -0.02212145 -0.15316184 -0.14956968]
66;[-1.42139194 -0.02274832 -0.15536098 -0.15131804]
67;[-1.42204383 -0.02338244 -0.15754663 -0.15305453]
68;[-1.4227048  -0.02402378 -0.15971846 -0.15477932]
69;[-1.42337479 -0.02467227 -0.1618761  -0.1564926 ]
70;[-1.42405374 -0.02532789 -0.16401923 -0.15819451]
71;[-1.42474158 -0.02599057 -0.16614749 -0.15988525]
72;[-1.42543827 -0.02666027 -0.16826057 -0.16156496]
73;[-1.42614372 -0.02733695 -0.17035811 -0.16323383]
74;[-1.42685788 -0.02802056 -0.1724398  -0.164892  ]
75;[-1.42758069 -0.02871106 -0.1745053  -0.16653964]
76;[-1.42831206 -0.0294084  -0.17655428 -0.16817692]
77;[-1.42905194 -0.03011254 -0.17858643 -0.16980399]
78;[-1.42980024 -0.03082345 -0.18060141 -0.17142102]
79;[-1.43055691 -0.03154106 -0.18259892 -0.17302815]
80;[-1.43132187 -0.03226536 -0.18457863 -0.17462554]
81;[-1.43209503 -0.03299629 -0.18654023 -0.17621335]
82;[-1.43287633 -0.03373382 -0.18848341 -0.17779173]
83;[-1.43366569 -0.0344779  -0.19040786 -0.17936084]
84;[-1.43446302 -0.03522851 -0.19231327 -0.18092082]
85;[-1.43526826 -0.03598559 -0.19419935 -0.18247182]
86;[-1.43608131 -0.03674912 -0.19606578 -0.184014  ]
87;[-1.4369021  -0.03751906 -0.19791227 -0.1855475 ]
88;[-1.43773054 -0.03829537 -0.19973852 -0.18707247]
89;[-1.43856654 -0.03907801 -0.20154425 -0.18858905]
90;[-1.43941003 -0.03986696 -0.20332915 -0.19009739]
91;[-1.44026091 -0.04066218 -0.20509295 -0.19159763]
92;[-1.44111909 -0.04146363 -0.20683535 -0.19308992]
93;[-1.44198449 -0.04227128 -0.20855607 -0.1945744 ]
94;[-1.44285701 -0.0430851  -0.21025483 -0.19605122]
95;[-1.44373657 -0.04390506 -0.21193136 -0.1975205 ]
96;[-1.44462306 -0.04473113 -0.21358537 -0.1989824 ]
97;[-1.4455164  -0.04556327 -0.21521659 -0.20043705]
98;[-1.44641648 -0.04640146 -0.21682476 -0.20188459]
99;[-1.44732322 -0.04724567 -0.21840961 -0.20332516]
100;[-1.44823652 -0.04809586 -0.21997087 -0.2047589 ]
101;[-1.44915626 -0.04895202 -0.22150828 -0.20618594]
102;[-1.45008237 -0.0498141  -0.22302157 -0.20760642]
103;[-1.45101473 -0.0506821  -0.2245105  -0.20902048]
104;[-1.45195324 -0.05155597 -0.22597482 -0.21042825]
105;[-1.4528978  -0.05243569 -0.22741425 -0.21182986]
106;[-1.4538483  -0.05332124 -0.22882857 -0.21322545]
107;[-1.45480465 -0.0542126  -0.23021752 -0.21461516]
108;[-1.45576673 -0.05510973 -0.23158086 -0.21599911]
109;[-1.45673444 -0.05601262 -0.23291835 -0.21737744]
110;[-1.45770766 -0.05692124 -0.23422974 -0.21875028]
111;[-1.4586863  -0.05783557 -0.23551482 -0.22011776]
112;[-1.45967023 -0.05875559 -0.23677334 -0.22148002]
113;[-1.46065935 -0.05968127 -0.23800507 -0.22283718]
114;[-1.46165355 -0.0606126  -0.23920979 -0.22418937]
115;[-1.46265271 -0.06154955 -0.24038728 -0.22553673]
116;[-1.46365672 -0.0624921  -0.24153731 -0.22687938]
117;[-1.46466546 -0.06344024 -0.24265966 -0.22821746]
118;[-1.46567882 -0.06439395 -0.24375412 -0.22955109]
119;[-1.46669669 -0.06535321 -0.24482048 -0.2308804 ]
120;[-1.46771894 -0.06631799 -0.24585852 -0.23220552]
121;[-1.46874545 -0.06728829 -0.24686805 -0.23352658]
122;[-1.46977611 -0.06826408 -0.24784885 -0.23484371]
123;[-1.4708108  -0.06924536 -0.24880072 -0.23615703]
124;[-1.47184939 -0.0702321  -0.24972347 -0.23746666]
125;[-1.47289176 -0.07122429 -0.2506169  -0.23877275]
126;[-1.4739378  -0.07222191 -0.25148082 -0.24007541]
127;[-1.47498737 -0.07322495 -0.25231504 -0.24137478]
128;[-1.47604036 -0.07423341 -0.25311937 -0.24267097]
129;[-1.47709664 -0.07524725 -0.25389362 -0.24396412]
130;[-1.47815608 -0.07626648 -0.25463763 -0.24525434]
131;[-1.47921855 -0.07729108 -0.2553512  -0.24654178]
132;[-1.48028394 -0.07832104 -0.25603417 -0.24782654]
133;[-1.4813521  -0.07935635 -0.25668636 -0.24910877]
134;[-1.48242292 -0.08039699 -0.2573076  -0.25038858]
135;[-1.48349627 -0.08144297 -0.25789772 -0.2516661 ]
136;[-1.48457201 -0.08249426 -0.25845657 -0.25294145]
137;[-1.48565001 -0.08355086 -0.25898399 -0.25421476]
138;[-1.48673014 -0.08461276 -0.25947981 -0.25548617]
139;[-1.48781227 -0.08567996 -0.25994388 -0.25675578]
140;[-1.48889627 -0.08675244 -0.26037604 -0.25802373]
141;[-1.489982   -0.0878302  -0.26077616 -0.25929014]
142;[-1.49106933 -0.08891324 -0.26114409 -0.26055514]
143;[-1.49215813 -0.09000155 -0.26147968 -0.26181885]
144;[-1.49324826 -0.09109512 -0.26178279 -0.2630814 ]
145;[-1.49433958 -0.09219394 -0.26205329 -0.26434292]
146;[-1.49543196 -0.09329803 -0.26229104 -0.26560352]
147;[-1.49652527 -0.09440736 -0.26249591 -0.26686334]
148;[-1.49761936 -0.09552194 -0.26266778 -0.2681225 ]
149;[-1.49871409 -0.09664177 -0.26280652 -0.26938113]
150;[-1.49980934 -0.09776684 -0.262912   -0.27063935]
151;[-1.50090495 -0.09889715 -0.26298412 -0.27189729]
152;[-1.5020008  -0.10003271 -0.26302275 -0.27315507]
153;[-1.50309674 -0.1011735  -0.26302779 -0.27441282]
154;[-1.50419262 -0.10231954 -0.26299911 -0.27567068]
155;[-1.50528832 -0.10347082 -0.26293662 -0.27692875]
156;[-1.50638369 -0.10462734 -0.26284021 -0.27818718]
157;[-1.50747858 -0.1057891  -0.26270978 -0.27944608]
158;[-1.50857286 -0.10695612 -0.26254524 -0.28070559]
159;[-1.50966638 -0.10812838 -0.26234648 -0.28196584]
160;[-1.510759   -0.10930589 -0.26211341 -0.28322694]
161;[-1.51185058 -0.11048867 -0.26184596 -0.28448904]
162;[-1.51294097 -0.1116767  -0.26154402 -0.28575225]
163;[-1.51403004 -0.11287    -0.26120752 -0.28701671]
164;[-1.51511762 -0.11406857 -0.26083638 -0.28828255]
165;[-1.51620359 -0.11527242 -0.26043052 -0.28954989]
166;[-1.5172878  -0.11648155 -0.25998987 -0.29081887]
167;[-1.5183701  -0.11769598 -0.25951435 -0.29208961]
168;[-1.51945034 -0.1189157  -0.25900389 -0.29336225]
169;[-1.52052838 -0.12014073 -0.25845844 -0.29463692]
170;[-1.52160408 -0.12137108 -0.25787792 -0.29591375]
171;[-1.52267728 -0.12260675 -0.25726228 -0.29719287]
172;[-1.52374785 -0.12384775 -0.25661147 -0.29847441]
173;[-1.52481563 -0.12509411 -0.25592542 -0.29975851]
174;[-1.52588048 -0.12634581 -0.25520408 -0.3010453 ]
175;[-1.52694225 -0.12760289 -0.25444741 -0.30233492]
176;[-1.52800079 -0.12886535 -0.25365536 -0.3036275 ]
