X;Y
0;[-0.  0.]
1;[ 1.94051281e-09 -3.11572667e-10]
2;[ 2.29632944e-08 -3.56189218e-09]
3;[ 1.01912329e-07 -1.52716340e-08]
4;[ 2.97835852e-07 -4.31178186e-08]
5;[ 6.88583615e-07 -9.63089791e-08]
6;[ 1.36949484e-06 -1.85059154e-07]
7;[ 2.45217240e-06 -3.20148642e-07]
8;[ 4.06333897e-06 -5.12560732e-07]
9;[ 6.34377086e-06 -7.73184796e-07]
10;[ 9.44730560e-06 -1.11257717e-06]
11;[ 1.35399193e-05 -1.54077221e-06]
12;[ 1.87988698e-05 -2.06713668e-06]
13;[ 2.54119030e-05 -2.70026153e-06]
14;[ 3.35765170e-05 -3.44788567e-06]
15;[ 4.34992826e-05 -4.31684701e-06]
16;[ 5.53952162e-05 -5.31305668e-06]
17;[ 6.94872019e-05 -6.44149256e-06]
18;[ 8.60054599e-05 -7.70620912e-06]
19;[ 1.05187060e-04 -9.11036059e-06]
20;[ 1.27275472e-04 -1.06562349e-05]
21;[ 1.52520162e-04 -1.23452965e-05]
22;[ 1.81176219e-04 -1.41782358e-05]
23;[ 2.13504016e-04 -1.61550238e-05]
24;[ 2.49768904e-04 -1.82749708e-05]
25;[ 2.90240939e-04 -2.05367872e-05]
26;[ 3.35194632e-04 -2.29386461e-05]
27;[ 3.84908727e-04 -2.54782463e-05]
28;[ 4.39666003e-04 -2.81528758e-05]
29;[ 4.99753102e-04 -3.09594738e-05]
30;[ 5.65460373e-04 -3.38946919e-05]
31;[ 6.37081741e-04 -3.69549536e-05]
32;[ 7.14914591e-04 -4.01365120e-05]
33;[ 7.99259669e-04 -4.34355051e-05]
34;[ 8.90421006e-04 -4.68480086e-05]
35;[ 9.88705846e-04 -5.03700866e-05]
36;[ 1.09442460e-03 -5.39978391e-05]
37;[ 1.20789080e-03 -5.77274474e-05]
38;[ 1.32942108e-03 -6.15552163e-05]
39;[ 1.45933516e-03 -6.54776144e-05]
40;[ 1.59795583e-03 -6.94913111e-05]
41;[ 1.74560897e-03 -7.35932113e-05]
42;[ 1.90262355e-03 -7.77804878e-05]
43;[ 2.06933166e-03 -8.20506119e-05]
44;[ 2.24606857e-03 -8.64013805e-05]
45;[ 2.43317270e-03 -9.08309425e-05]
46;[ 2.63098572e-03 -9.53378228e-05]
47;[ 2.83985259e-03 -9.99209442e-05]
48;[ 0.00306012 -0.00010458]
49;[ 0.00329214 -0.00010931]
50;[ 0.00353628 -0.00011412]
51;[ 0.00379288 -0.00011901]
52;[ 0.00406231 -0.00012397]
53;[ 0.00434493 -0.00012902]
54;[ 0.00464112 -0.00013414]
55;[ 0.00495126 -0.00013935]
56;[ 0.00527571 -0.00014464]
57;[ 0.00561485 -0.00015003]
58;[ 0.00596909 -0.00015551]
59;[ 0.0063388 -0.0001611]
60;[ 0.00672438 -0.00016679]
61;[ 0.00712623 -0.00017259]
62;[ 0.00754475 -0.00017851]
63;[ 0.00798035 -0.00018456]
64;[ 0.00843345 -0.00019075]
65;[ 0.00890447 -0.00019708]
66;[ 0.00939382 -0.00020356]
67;[ 0.00990193 -0.00021021]
68;[ 0.01042924 -0.00021704]
69;[ 0.01097619 -0.00022405]
70;[ 0.01154323 -0.00023126]
71;[ 0.0121308  -0.00023868]
72;[ 0.01273936 -0.00024634]
73;[ 0.01336937 -0.00025424]
74;[ 0.01402131 -0.00026239]
75;[ 0.01469564 -0.00027083]
76;[ 0.01539285 -0.00027956]
77;[ 0.01611343 -0.00028861]
78;[ 0.01685787 -0.00029799]
79;[ 0.01762668 -0.00030774]
80;[ 0.01842035 -0.00031786]
81;[ 0.01923941 -0.00032839]
82;[ 0.02008439 -0.00033935]
83;[ 0.0209558  -0.00035078]
84;[ 0.0218542  -0.00036269]
85;[ 0.02278012 -0.00037512]
86;[ 0.02373413 -0.0003881 ]
87;[ 0.02471677 -0.00040166]
88;[ 0.02572864 -0.00041585]
89;[ 0.02677029 -0.0004307 ]
90;[ 0.02784233 -0.00044625]
91;[ 0.02894535 -0.00046254]
92;[ 0.03007996 -0.00047962]
93;[ 0.03124676 -0.00049753]
94;[ 0.03244639 -0.00051633]
95;[ 0.03367949 -0.00053607]
96;[ 0.03494669 -0.0005568 ]
97;[ 0.03624865 -0.00057859]
98;[ 0.03758604 -0.00060148]
99;[ 0.03895953 -0.00062557]
100;[ 0.04036981 -0.0006509 ]
101;[ 0.04181758 -0.00067755]
102;[ 0.04330353 -0.00070561]
103;[ 0.04482841 -0.00073514]
