X;Y
0;[ 0.        -1.7776037]
1;[ 0.         -1.75594113]
2;[ 0.         -1.73519833]
3;[ 0.         -1.71534956]
4;[ 0.        -1.6963699]
5;[ 0.         -1.67823524]
6;[ 0.         -1.66092222]
7;[ 0.         -1.64440826]
8;[ 0.         -1.62867147]
9;[ 0.         -1.61369069]
10;[ 0.         -1.59944541]
11;[ 0.         -1.58591581]
12;[ 0.         -1.57308268]
13;[ 0.         -1.56092744]
14;[ 0.         -1.54943211]
15;[ 0.         -1.53857929]
16;[ 0.         -1.52835215]
17;[ 0.         -1.51873439]
18;[ 0.         -1.50971026]
19;[ 0.         -1.50126452]
20;[ 0.         -1.49338242]
21;[ 0.        -1.4860497]
22;[ 0.         -1.47925258]
23;[ 0.         -1.47297774]
24;[ 0.         -1.46721229]
25;[ 0.         -1.46194378]
26;[ 0.         -1.45716018]
27;[ 0.         -1.45284987]
28;[ 0.         -1.44900161]
29;[ 0.         -1.44560456]
30;[ 0.         -1.44264827]
31;[ 0.         -1.44012261]
32;[ 0.         -1.43801785]
33;[ 0.         -1.43632456]
34;[ 0.         -1.43503368]
35;[ 0.         -1.43413646]
36;[ 0.         -1.43362445]
37;[ 0.         -1.43348954]
38;[ 0.        -1.4337239]
39;[ 0.         -1.43431998]
40;[ 0.         -1.43527053]
41;[ 0.         -1.43656857]
42;[ 0.         -1.43820738]
43;[ 0.         -1.44018051]
44;[ 0.         -1.44248177]
45;[ 0.        -1.4451052]
46;[ 0.         -1.44804507]
47;[ 0.         -1.45129593]
48;[ 0.        -1.4548525]
49;[ 0.         -1.45870977]
50;[ 0.         -1.46286292]
51;[ 0.         -1.46730733]
52;[ 0.         -1.47203863]
53;[ 0.        -1.4770526]
54;[ 0.         -1.48234524]
55;[ 0.         -1.48791274]
56;[ 0.         -1.49375147]
57;[ 0.         -1.49985799]
58;[ 0.         -1.50622901]
59;[ 0.         -1.51286145]
60;[ 0.         -1.51975238]
61;[ 0.         -1.52689901]
62;[ 0.         -1.53429876]
63;[ 0.         -1.54194917]
64;[ 0.         -1.54984795]
65;[ 0.         -1.55799296]
66;[ 0.         -1.56638218]
67;[ 0.         -1.57501378]
68;[ 0.         -1.58388603]
69;[ 0.         -1.59299736]
70;[ 0.         -1.60234632]
71;[ 0.         -1.61193162]
72;[ 0.         -1.62175207]
73;[ 0.         -1.63180662]
74;[ 0.         -1.64209434]
75;[ 0.         -1.65261443]
76;[ 0.         -1.66336621]
77;[ 0.         -1.67434911]
78;[ 0.        -1.6855627]
79;[ 0.         -1.69700662]
80;[ 0.         -1.70868068]
81;[ 0.         -1.72058477]
82;[ 0.         -1.73271888]
83;[ 0.         -1.74508313]
84;[ 0.         -1.75767775]
85;[ 0.         -1.77050306]
86;[ 0.        -1.7835595]
87;[ 0.         -1.79684761]
88;[ 0.         -1.81036802]
89;[ 0.         -1.82412148]
90;[ 0.         -1.83810884]
91;[ 0.         -1.85233105]
92;[ 0.         -1.86678915]
93;[ 0.         -1.88148429]
94;[ 0.         -1.89641773]
95;[ 0.         -1.91159081]
96;[ 0.         -1.92700497]
97;[ 0.         -1.94266177]
98;[ 0.         -1.95856285]
99;[ 0.         -1.97470996]
100;[ 0.         -1.99110494]
101;[ 0.         -2.00774974]
102;[ 0.         -2.02464639]
103;[ 0.         -2.04179706]
104;[ 0.         -2.05920398]
105;[ 0.        -2.0768695]
106;[ 0.         -2.09479607]
107;[ 0.         -2.11298625]
108;[ 0.         -2.13144269]
109;[ 0.         -2.15016816]
110;[ 0.         -2.16916552]
111;[ 0.         -2.18843776]
112;[ 0.         -2.20798795]
113;[ 0.        -2.2278193]
114;[ 0.         -2.24793512]
115;[ 0.         -2.26833881]
116;[ 0.         -2.28903393]
117;[ 0.         -2.31002412]
118;[ 0.         -2.33131316]
119;[ 0.         -2.35290495]
120;[ 0.        -2.3748035]
121;[ 0.         -2.39701296]
122;[ 0.        -2.4195376]
123;[ 0.         -2.44238183]
124;[ 0.         -2.46555019]
125;[ 0.         -2.48904736]
126;[ 0.         -2.51287815]
127;[ 0.         -2.53704753]
128;[ 0.         -2.56156061]
129;[ 0.         -2.58642265]
130;[ 0.         -2.61163907]
131;[ 0.         -2.63721544]
132;[ 0.         -2.66315751]
133;[ 0.         -2.68947118]
134;[ 0.         -2.71616253]
135;[ 0.         -2.74323783]
136;[ 0.        -2.7707035]
137;[ 0.         -2.79856619]
138;[ 0.         -2.82683272]
139;[ 0.        -2.8555101]
140;[ 0.         -2.88460558]
141;[ 0.         -2.91412659]
142;[ 0.         -2.94408079]
143;[ 0.         -2.97447607]
144;[ 0.         -3.00532056]
145;[ 0.         -3.03662262]
146;[ 0.         -3.06839086]
147;[ 0.         -3.10063415]
148;[ 0.         -3.13336163]
149;[ 0.         -3.16658272]
150;[ 0.         -3.20030711]
151;[ 0.         -3.23454482]
152;[ 0.         -3.26930613]
153;[ 0.         -3.30460167]
154;[ 0.         -3.34044241]
155;[ 0.         -3.37683962]
156;[ 0.         -3.41380496]
157;[ 0.         -3.45135045]
158;[ 0.         -3.48948849]
159;[ 0.         -3.52823187]
160;[ 0.         -3.56759381]
161;[ 0.         -3.60758793]
162;[ 0.         -3.64822833]
163;[ 0.         -3.68952954]
164;[ 0.        -3.7315066]
165;[ 0.         -3.77417503]
166;[ 0.         -3.81755088]
167;[ 0.         -3.86165074]
168;[ 0.         -3.90649177]
169;[ 0.         -3.95209171]
170;[ 0.         -3.99846893]
171;[ 0.         -4.04564241]
172;[ 0.         -4.09363183]
173;[ 0.         -4.14245754]
174;[ 0.         -4.19214062]
175;[ 0.         -4.24270292]
176;[ 0.         -4.29416706]
177;[ 0.         -4.34655651]
178;[ 0.         -4.39989557]
179;[ 0.         -4.45420947]
180;[ 0.         -4.50952435]
181;[ 0.         -4.56586736]
182;[ 0.         -4.62326666]
183;[ 0.         -4.68175149]
184;[ 0.         -4.74135221]
185;[ 0.         -4.80210037]
186;[ 0.         -4.86402872]
187;[ 0.         -4.92717134]
188;[ 0.         -4.99156363]
189;[ 0.         -5.05724241]
190;[ 0.         -5.12424598]
191;[ 0.        -5.1926142]
192;[ 0.         -5.26238854]
193;[ 0.         -5.33361218]
194;[ 0.         -5.40633011]
195;[ 0.         -5.48058915]
196;[ 0.         -5.55643811]
197;[ 0.         -5.63392787]
198;[ 0.         -5.71311145]
199;[ 0.         -5.79404416]
200;[ 0.         -5.87678367]
201;[ 0.         -5.96139016]
202;[ 0.         -6.04792642]
203;[ 0.         -6.13645799]
204;[ 0.        -6.2270533]
205;[ 0.        -6.3197838]
206;[ 0.         -6.41472411]
207;[ 0.         -6.51195218]
208;[ 0.         -6.61154944]
209;[ 0.         -6.71360099]
210;[ 0.         -6.81819573]
211;[ 0.         -6.92542659]
212;[ 0.         -7.03539069]
213;[ 0.         -7.14818951]
214;[ 0.         -7.26392914]
215;[ 0.         -7.38272043]
216;[ 0.         -7.50467921]
