X;Y
0;-24.143518384717275
1;-24.14351499942989
2;-24.143504900272347
3;-24.14348818258753
4;-24.143464938147737
5;-24.14343525527963
6;-24.143399218984417
7;-24.143356911053562
8;-24.14330841018008
9;-24.14325379206558
10;-24.143193129523357
11;-24.143126492577434
12;-24.143053948557935
13;-24.14297556219273
14;-24.142891395695656
15;-24.142801508851267
16;-24.14270595909637
17;-24.14260480159845
18;-24.14249808933096
19;-24.142385873145784
20;-24.142268201842832
21;-24.142145122236936
22;-24.14201667922209
23;-24.141882915833225
24;-24.141743873305494
25;-24.141599591131197
26;-24.141450107114526
27;-24.14129545742401
28;-24.14113567664295
29;-24.140970797817758
30;-24.140800852504384
31;-24.1406258708128
32;-24.140445881449747
33;-24.140260911759647
34;-24.14007098776385
35;-24.139876134198275
36;-24.139676374549442
37;-24.139471731089
38;-24.13926222490682
39;-24.139047875942616
40;-24.138828703016287
41;-24.138604723856876
42;-24.138375955130314
43;-24.138142412465946
44;-24.137904110481838
45;-24.137661062809006
46;-24.137413282114544
47;-24.137160780123676
48;-24.136903567640815
49;-24.13664165456965
50;-24.136375049932283
51;-24.136103761887462
52;-24.13582779774794
53;-24.135547163996996
54;-24.135261866304127
55;-24.134971909540006
56;-24.134677297790596
57;-24.134378034370656
58;-24.134074121836445
59;-24.133765561997787
60;-24.133452355929506
61;-24.133134503982212
62;-24.132812005792466
63;-24.132484860292408
64;-24.132153065718775
65;-24.131816619621397
66;-24.13147551887117
67;-24.131129759667555
68;-24.13077933754551
69;-24.13042424738201
70;-24.130064483402144
71;-24.129700039184687
72;-24.129330907667324
73;-24.128957081151423
74;-24.128578551306433
75;-24.128195309173893
76;-24.12780734517109
77;-24.127414649094323
78;-24.12701721012185
79;-24.126615016816505
80;-24.12620805712796
81;-24.125796318394727
82;-24.12537978734578
83;-24.12495845010196
84;-24.12453229217704
85;-24.12410129847852
86;-24.123665453308195
87;-24.12322474036237
88;-24.122779142731936
89;-24.122328642902072
90;-24.121873222751802
91;-24.121412863553267
92;-24.12094754597075
93;-24.120477250059523
94;-24.12000195526442
95;-24.119521640418228
96;-24.119036283739824
97;-24.118545862832143
98;-24.11805035467991
99;-24.117549735647177
100;-24.117043981474634
101;-24.116533067276787
102;-24.11601696753883
103;-24.11549565611341
104;-24.11496910621719
105;-24.114437290427155
106;-24.11390018067679
107;-24.113357748252056
108;-24.11280996378713
109;-24.11225679726001
110;-24.11169821798791
111;-24.111134194622444
112;-24.110564695145662
113;-24.109989686863315
114;-24.109409136399567
115;-24.108823009691875
116;-24.10823127198524
117;-24.107633887826236
118;-24.107030821056856
119;-24.10642203480816
120;-24.10580749149372
121;-24.10518715280285
122;-24.10456097969364
123;-24.103928932385813
124;-24.103290970353275
125;-24.10264705231657
126;-24.10199713623504
127;-24.10134117929876
128;-24.10067913792034
129;-24.100010967726362
130;-24.099336623548684
131;-24.098656059415493
132;-24.097969228542095
133;-24.09727608332145
134;-24.09657657531452
135;-24.095870655240297
136;-24.095158272965588
137;-24.094439377494577
138;-24.093713916958084
139;-24.09298183860253
140;-24.092243088778662
141;-24.091497612930013
142;-24.090745355580975
143;-24.0899862603247
144;-24.089220269810614
145;-24.088447325731625
146;-24.08766736881109
147;-24.08688033878934
148;-24.086086174410006
149;-24.085284813405917
150;-24.084476192484694
151;-24.083660247313976
152;-24.08283691250632
153;-24.08200612160371
154;-24.08116780706166
155;-24.08032190023306
156;-24.07946833135146
157;-24.078607029514107
158;-24.077737922664486
159;-24.076860937574487
160;-24.07597599982615
161;-24.075083033792936
