X;Y
0;24.5
1;24.5
2;24.5
3;24.5
4;24.5
5;24.5
6;24.5
7;24.5
8;24.5
9;24.5
10;24.5
11;24.5
12;24.5
13;24.5
14;24.5
15;24.5
16;24.5
17;24.5
18;24.5
19;24.5
20;24.5
21;24.5
22;24.5
23;24.5
24;24.5
25;24.5
26;24.5
27;24.5
28;24.5
29;24.5
30;24.5
31;24.5
32;24.5
33;24.5
34;24.5
35;24.5
36;24.5
37;24.5
38;24.5
39;24.5
40;24.5
41;24.5
42;24.5
43;24.5
44;24.5
45;24.5
46;24.5
47;24.5
48;24.5
49;24.5
50;24.5
51;24.5
52;24.5
53;24.5
54;24.5
55;24.5
56;24.5
57;24.5
58;24.5
59;24.5
60;24.5
61;24.5
62;24.5
63;24.5
64;24.5
65;24.5
66;24.5
67;24.5
68;24.5
69;24.5
70;24.5
71;24.5
72;24.5
73;24.5
74;24.5
75;24.5
76;24.5
77;24.5
78;24.5
79;24.5
80;24.5
81;24.5
82;24.5
83;24.5
84;24.5
85;24.5
86;24.5
87;24.5
88;24.5
89;24.5
90;24.5
91;24.5
92;24.5
93;24.5
94;24.5
95;24.5
96;24.5
97;24.5
98;24.5
99;24.5
100;24.5
101;24.5
102;24.5
103;24.5
104;24.5
105;24.5
106;24.5
107;24.5
108;24.5
109;24.5
110;24.5
111;24.5
112;24.5
113;24.5
114;24.5
115;24.5
116;24.5
117;24.5
118;24.5
119;24.5
120;24.5
121;24.5
122;24.5
123;24.5
124;24.5
125;24.5
126;24.5
127;24.5
128;24.5
129;24.5
130;24.5
131;24.5
132;24.5
133;24.5
134;24.5
135;24.5
136;24.5
137;24.5
138;24.5
139;24.5
140;24.5
141;24.5
142;24.5
143;24.5
144;24.5
145;24.5
146;24.5
147;24.5
148;24.5
149;24.5
150;24.5
151;24.5
152;24.5
153;24.5
154;24.5
155;24.5
156;24.5
157;24.5
158;24.5
159;24.5
160;24.5
161;24.5
162;24.5
163;24.5
164;24.5
165;24.5
166;24.5
167;24.5
168;24.5
169;24.5
170;24.5
171;24.5
172;24.5
173;24.5
174;24.5
175;24.5
176;24.5
177;24.5
178;24.5
179;24.5
180;24.5
181;24.5
182;24.5
183;24.5
184;24.5
185;24.5
186;24.5
187;24.5
188;24.5
189;24.5
190;24.5
191;24.5
192;24.5
193;24.5
194;24.5
195;24.5
196;24.5
197;24.5
198;24.5
199;24.5
200;24.5
201;24.5
202;24.5
203;24.5
204;24.5
205;24.5
206;24.5
207;24.5
208;24.5
209;24.5
210;24.5
211;24.5
212;24.5
213;24.5
214;24.5
215;24.5
216;24.5
217;24.5
218;24.5
219;24.5
220;24.5
221;24.5
222;24.5
223;24.5
224;24.5
225;24.5
226;24.5
227;24.5
228;24.5
229;24.5
230;24.5
231;24.5
232;24.5
233;24.5
234;24.5
235;24.5
236;24.5
237;24.5
238;24.5
239;24.5
240;24.5
241;24.5
242;24.5
243;24.5
244;24.5
245;24.5
246;24.5
247;24.5
248;24.5
249;24.5
250;24.5
251;24.5
252;24.5
253;24.5
