X;Y
0;"[[5.913 3.33 ]
 [3.33  2.33 ]]"
1;"[[5.913 3.33 ]
 [3.33  2.33 ]]"
2;"[[5.91299998 3.32999999]
 [3.32999999 2.33      ]]"
3;"[[5.91299994 3.32999997]
 [3.32999997 2.33      ]]"
4;"[[5.91299983 3.32999992]
 [3.32999992 2.33      ]]"
5;"[[5.91299963 3.32999981]
 [3.32999981 2.33      ]]"
6;"[[5.91299927 3.32999964]
 [3.32999964 2.33      ]]"
7;"[[5.91299873 3.32999936]
 [3.32999936 2.33      ]]"
8;"[[5.91299792 3.32999896]
 [3.32999896 2.33      ]]"
9;"[[5.91299679 3.3299984 ]
 [3.3299984  2.33      ]]"
10;"[[5.91299527 3.32999763]
 [3.32999763 2.33      ]]"
11;"[[5.91299327 3.32999663]
 [3.32999663 2.33      ]]"
12;"[[5.91299071 3.32999536]
 [3.32999536 2.33      ]]"
13;"[[5.91298751 3.32999375]
 [3.32999375 2.33      ]]"
14;"[[5.91298356 3.32999178]
 [3.32999178 2.33      ]]"
15;"[[5.91297878 3.32998939]
 [3.32998939 2.33      ]]"
16;"[[5.91297306 3.32998653]
 [3.32998653 2.33      ]]"
17;"[[5.91296629 3.32998315]
 [3.32998315 2.33      ]]"
18;"[[5.91295837 3.32997919]
 [3.32997919 2.33      ]]"
19;"[[5.91294919 3.32997459]
 [3.32997459 2.33      ]]"
20;"[[5.91293861 3.32996931]
 [3.32996931 2.33      ]]"
21;"[[5.91292654 3.32996327]
 [3.32996327 2.33      ]]"
22;"[[5.91291284 3.32995642]
 [3.32995642 2.33      ]]"
23;"[[5.91289739 3.32994869]
 [3.32994869 2.33      ]]"
24;"[[5.91288006 3.32994003]
 [3.32994003 2.33      ]]"
25;"[[5.91286072 3.32993036]
 [3.32993036 2.33      ]]"
26;"[[5.91283924 3.32991962]
 [3.32991962 2.33      ]]"
27;"[[5.91281548 3.32990774]
 [3.32990774 2.33      ]]"
28;"[[5.9127893  3.32989465]
 [3.32989465 2.33      ]]"
29;"[[5.91276057 3.32988029]
 [3.32988029 2.33      ]]"
30;"[[5.91272914 3.32986457]
 [3.32986457 2.33      ]]"
31;"[[5.91269488 3.32984744]
 [3.32984744 2.33      ]]"
32;"[[5.91265762 3.32982881]
 [3.32982881 2.33      ]]"
33;"[[5.91261723 3.32980861]
 [3.32980861 2.33      ]]"
34;"[[5.91257355 3.32978677]
 [3.32978677 2.33      ]]"
35;"[[5.91252643 3.32976322]
 [3.32976322 2.33      ]]"
36;"[[5.91247573 3.32973786]
 [3.32973786 2.33      ]]"
37;"[[5.91242127 3.32971064]
 [3.32971064 2.33      ]]"
38;"[[5.91236291 3.32968145]
 [3.32968145 2.33      ]]"
39;"[[5.91230048 3.32965024]
 [3.32965024 2.33      ]]"
40;"[[5.91223383 3.32961692]
 [3.32961692 2.33      ]]"
41;"[[5.91216279 3.32958139]
 [3.32958139 2.33      ]]"
42;"[[5.91208719 3.3295436 ]
 [3.3295436  2.33      ]]"
