X;Y
0;[-1.4  0. ]
1;[-1.39998864e+00 -4.19063789e-05]
2;[-1.39996639e+00 -1.24883483e-04]
3;[-1.39993370e+00 -2.48122514e-04]
4;[-1.39989101e+00 -4.10840749e-04]
5;[-1.39983875e+00 -6.12280774e-04]
6;[-1.39977734e+00 -8.51709748e-04]
7;[-1.39970715e+00 -1.12841869e-03]
8;[-1.39962859 -0.00144172]
9;[-1.39954202 -0.00179096]
10;[-1.39944779 -0.00217548]
11;[-1.39934625 -0.00259467]
12;[-1.39923774 -0.00304793]
13;[-1.39912258 -0.00353468]
14;[-1.39900107 -0.00405437]
15;[-1.39887352 -0.00460643]
16;[-1.39874021 -0.00519037]
17;[-1.39860142 -0.00580566]
18;[-1.39845742 -0.00645183]
19;[-1.39830846 -0.0071284 ]
20;[-1.39815479 -0.00783491]
21;[-1.39799666 -0.00857093]
22;[-1.39783428 -0.00933604]
23;[-1.39766789 -0.01012982]
24;[-1.39749768 -0.01095188]
25;[-1.39732386 -0.01180185]
26;[-1.39714664 -0.01267935]
27;[-1.39696618 -0.01358403]
28;[-1.39678268 -0.01451556]
29;[-1.3965963  -0.01547361]
30;[-1.39640721 -0.01645787]
31;[-1.39621556 -0.01746802]
32;[-1.39602149 -0.01850379]
33;[-1.39582516 -0.01956488]
34;[-1.3956267  -0.02065104]
35;[-1.39542623 -0.02176201]
36;[-1.39522389 -0.02289754]
37;[-1.39501977 -0.02405739]
38;[-1.394814   -0.02524133]
39;[-1.39460667 -0.02644916]
40;[-1.39439789 -0.02768065]
41;[-1.39418774 -0.02893562]
42;[-1.39397632 -0.03021388]
43;[-1.3937637  -0.03151524]
44;[-1.39354996 -0.03283953]
45;[-1.39333516 -0.03418658]
46;[-1.39311938 -0.03555626]
47;[-1.39290268 -0.03694839]
48;[-1.3926851  -0.03836285]
49;[-1.39246671 -0.03979951]
50;[-1.39224754 -0.04125823]
51;[-1.39202763 -0.04273891]
52;[-1.39180703 -0.04424143]
53;[-1.39158576 -0.04576568]
54;[-1.39136386 -0.04731157]
55;[-1.39114134 -0.04887902]
56;[-1.39091823 -0.05046793]
57;[-1.39069454 -0.05207823]
58;[-1.39047028 -0.05370985]
59;[-1.39024546 -0.05536272]
60;[-1.39002008 -0.05703679]
61;[-1.38979415 -0.058732  ]
62;[-1.38956765 -0.0604483 ]
63;[-1.38934058 -0.06218566]
64;[-1.38911293 -0.06394403]
65;[-1.38888468 -0.06572339]
66;[-1.38865582 -0.0675237 ]
67;[-1.38842632 -0.06934496]
68;[-1.38819615 -0.07118715]
69;[-1.3879653  -0.07305024]
70;[-1.38773372 -0.07493425]
71;[-1.38750138 -0.07683917]
72;[-1.38726824 -0.07876501]
73;[-1.38703426 -0.08071177]
74;[-1.3867994  -0.08267947]
75;[-1.38656361 -0.08466813]
76;[-1.38632682 -0.08667777]
77;[-1.38608901 -0.08870842]
78;[-1.38585009 -0.09076012]
79;[-1.38561002 -0.0928329 ]
80;[-1.38536873 -0.0949268 ]
81;[-1.38512615 -0.09704188]
82;[-1.38488223 -0.09917817]
83;[-1.38463687 -0.10133573]
84;[-1.38439002 -0.10351463]
85;[-1.38414158 -0.10571493]
86;[-1.38389149 -0.10793669]
87;[-1.38363966 -0.11017999]
88;[-1.38338601 -0.1124449 ]
89;[-1.38313044 -0.1147315 ]
90;[-1.38287286 -0.11703988]
91;[-1.38261318 -0.11937012]
92;[-1.38235131 -0.12172232]
93;[-1.38208714 -0.12409657]
94;[-1.38182058 -0.12649297]
95;[-1.38155152 -0.12891162]
96;[-1.38127985 -0.13135265]
97;[-1.38100546 -0.13381615]
98;[-1.38072824 -0.13630224]
99;[-1.38044807 -0.13881104]
100;[-1.38016485 -0.14134269]
101;[-1.37987844 -0.1438973 ]
102;[-1.37958873 -0.146475  ]
103;[-1.37929559 -0.14907595]
104;[-1.37899889 -0.15170027]
105;[-1.37869851 -0.1543481 ]
106;[-1.3783943  -0.15701961]
107;[-1.37808614 -0.15971494]
108;[-1.37777388 -0.16243424]
109;[-1.37745739 -0.16517769]
110;[-1.37713653 -0.16794544]
111;[-1.37681113 -0.17073766]
112;[-1.37648107 -0.17355452]
113;[-1.37614618 -0.17639622]
114;[-1.37580631 -0.17926291]
115;[-1.37546132 -0.1821548 ]
116;[-1.37511102 -0.18507207]
117;[-1.37475528 -0.18801492]
118;[-1.37439392 -0.19098354]
119;[-1.37402677 -0.19397814]
120;[-1.37365366 -0.19699893]
121;[-1.37327443 -0.20004612]
122;[-1.3728889  -0.20311993]
123;[-1.37249689 -0.20622057]
124;[-1.37209821 -0.20934828]
125;[-1.37169269 -0.21250329]
